"1-indexed start position of item code in the full barcode. Example: for item code 3310100 in 3310100010009, start is 1.",
"1-indexed start position of weight segment. Example: in 3310100010009, weight starts at position 8.",
"<span class=\""h4\"">X POS</span>",
Accept Qty,
Account,হিসাব
Account Head,অ্যাকাউন্ট হেড
Accounts Manager,হিসাবরক্ষক ব্যবস্থাপক
Accounts User,ব্যবহারকারীর অ্যাকাউন্ট
Add Filter,ফিল্টার যোগ
Add New Supplier,
Add a new supplier to the system,
Add items to pay,
Add to Cart,কার্ট যোগ করুন
Add/Edit Coupon Conditions,কুপন শর্তাদি যুক্ত / সম্পাদনা করুন
Additional Discount,অতিরিক্ত ছাড়
Administrator,প্রশাসক
Against Name,
All,সব
All Groups,
All orders have been received,
Allocated {0} across {1} payment(s).,
Allocation amount for payment {0} exceeds outstanding invoices,
Amended From,সংশোধিত
Amount,পরিমাণ
Amount Due,
Amount exceeds POS Profile cash movement max amount.,
Amount must be greater than zero,
Amount must be greater than zero.,
Applied,ফলিত
Apply,প্রয়োগ করা
Apply For,
Apply For POS Profiles,
Apply On,উপর প্রয়োগ
Apply Rule On Brand,ব্র্যান্ডের উপর নিয়ম প্রয়োগ করুন
Apply Rule On Item Code,আইটেম কোডে বিধি প্রয়োগ করুন
Apply Rule On Item Group,আইটেম গ্রুপে বিধি প্রয়োগ করুন
Apply Type,
Are you sure you want to delete this draft?,
At least one item is required,
Auto Apply,
Auto-receive,
Available Programs,
Back Office Cash Account is fixed by POS Profile and cannot be overridden.,
Back Office Cash Account is required for cash deposit.,
Back Office Cash Account must be a Cash account.,
Back to Sign In,
Barcode,বারকোড
Barcode Printer,
Barcode Structure,
Barcode Type,বারকোড প্রকার
Barcode lookup failed,
Barcode {0} already exists.,
Barcodes,বারকোড
Brand,ব্র্যান্ড
Campaign,প্রচারাভিযান
Cancel,বাতিল
Cancelled,বাতিল করা হয়েছে
Cancelling submitted cash movements is disabled for this POS Profile.,
Cannot add item to cart,
Cart,কার্ট
Cart is empty,
Cash Deposit,
Cash Deposit is disabled for this POS Profile.,
Cash Movement,
Cash Movement is disabled for this POS Profile.,
Cash deposit recorded,
Cash flow tracking,
Cash movement is already cancelled,
Cash movement {0} not found,
Cashier,কোষাধ্যক্ষ
Change,পরিবর্তন
Change Given,
Check your email for reset instructions,
Clear All,
Clear cart,
Click on items to add them here,
Click to change customer,
Click to select customer,
Client Request ID,
Close,ঘনিষ্ঠ
Close Shift,
Closed,বন্ধ
Closing,
Closing Amount,সমাপ্তির পরিমাণ
Closing...,
Company,কোম্পানি
Company is required,
Company is required.,
Company must match the selected POS Opening Shift company.,
Company must match the selected POS Profile company.,
Contact administrator to set up loyalty programs,
Context is required,
Cost Center,খরচ কেন্দ্র
Cost Center is not set in pos profile {0},
Coupon,
Coupon Based,
Coupon Code,কুপন কোড
Coupon Code Based,কুপন কোড ভিত্তিক
Coupon Description,কুপন বর্ণনা
Coupon Name,কুপন নাম
Coupon Type,কুপন প্রকার
Coupon has expired,
Coupon is not valid for this customer,
Coupon is not yet valid,
Create New Supplier,
Create Supplier,
Create items,
Create suppliers,
Created By,দ্বারা নির্মিত
Creating...,
Credit Note,ক্রেডিট নোট
Credit Note {0} has no remaining balance to allocate.,
Credit note {0} is already fully allocated,
Credit note {0} still has an unapplied balance of {1},
Currency,মুদ্রা
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}",
Currency is required,
Customer,ক্রেতা
Customer Group,গ্রাহক গ্রুপ
Customer Name,ক্রেতার নাম
Customer already exists,
Customer is already enrolled in {0},
Customer is already enrolled in {0}. Please unenroll from the current program first.,
Customer is not enrolled in any loyalty program,
Customer is required,গ্রাহক প্রয়োজন বোধ করা হয়
Customer is required to create an address,
Customer locked for return,
Customer mismatch: Return must be for the same customer ({0}) as the original invoice,
Customer name is required,
Customer {0} not found,
"Customer, Company, Amount, and Mode of Payment are required",
Date,তারিখ
Date & Time,
Default Loyalty Program,
Default Rate,
Default Rate is required,
Delete draft,
Deleting cancelled cash movements is disabled for this POS Profile.,
Delivery Charges,
Delivery Charges POS Profile,
Deposit,
Deposit To,
Description,বর্ণনা
Details,বিবরণ
Difference,পার্থক্য
Digits after decimal. Example: 1.000 => decimals 3.,
"Digits before decimal. Example: for 1.000, use 1 (or 2 if your scale encodes 01.000).",
Disable,অক্ষম
Disabled,অক্ষম
Discount,ডিসকাউন্ট
Discount %,
Discount Amount,হ্রাসকৃত মুল্য
Discount Percentage,ডিসকাউন্ট শতাংশ
Discount Type,ছাড়ের ধরণ
Discount amount,
Draft,খসড়া
Draft invoice deleted,
Draft invoice restored to cart,
Email,EMail
Email Address,ইমেল ঠিকানা
Email ID,ইমেইল আইডি
Email Sent Successfully,
Email address,ইমেল ঠিকানা
Email or Username,
Enable only if barcode also contains price segment.,
"Enable when your barcode starts with a fixed prefix value (for example, 331).",
Enroll Customer,
Enrolled,তালিকাভুক্ত
Enrolling...,তালিকাভুক্ত করা...
Enter coupon code...,
Enter reason for this transaction...,
Enter supplier name,
Enter the email address associated with your account,
Enter your email address,
Enter your email or username,
Enter your email to receive a password reset link,
Enter your password,আপনার পাসওয়ার্ড লিখুন
Expected,
Expected Amount,প্রত্যাশিত পরিমাণ
Expense,ব্যয়
Expense Account,দামী হিসাব
Expense Account is required for expense entries.,
Expense account is required,
Expense account is required for POS Expense.,
Expense target account must match Expense Account.,
Expires,
Failed to create payment request: {0},
Failed to delete draft invoice,
Failed to fetch draft invoices,
Failed to load draft invoice,
Failed to reconcile Credit Note {0}: {1},
Failed to reconcile Journal Entry {0}: {1},
Failed to reconcile Payment Entry {0}: {1},
Failed to record cash movement,
Failed to save draft: {0},
Failed to validate coupon,
Final Customer Offer,
"Fixed starting value of all scale barcodes (for example, 331). If set, barcodes not starting with this value are ignored.",
Forgot password?,
Generate and print barcode labels for items,
Generating...,
Gift Card,উপহার কার্ড
Give Item,
Give Item Row ID,
Give Product,
Given Quantity,
Grand Total,সর্বমোট
In Transit,ট্রানজিটে
In-Transit,
In-Transit Stock,
Include QR Code,
Individual,ব্যক্তি
Invalid Opening Entry,অবৈধ খোলার এন্ট্রি
Invalid POS Opening Shift data provided.,
Invalid Period,অবৈধ পিরিয়ড
Invalid language code,
Invalid language code format: {0},
Invalid movement type for journal entry.,
Invalid movement type.,
Invalid or already used coupon code,
Invalid or expired coupon code,
Invalid payload for cash movement.,
Invalid posting date.,
Invalid {0} filter,
Invoice,চালান
Invoice Amount,
Invoice Currency,
Invoice details,
Invoice name is required for update,
Invoice {0} Deleted,
Invoice {0} does not exist,
Invoice {0} not found,
Item,আইটেম
Item Code,পণ্য সংকেত
Item Code and Price List are required,
Item Code is required,
Item Discounts,
Item Group,আইটেমটি গ্রুপ
Item Price,আইটেমের মূল্য
Item Price has been added or updated,
Item Rate Should Less Then,
Item code digits,
Item code is required.,
Item code starting position,
Item {0} was not in the original invoice {1},
"Item {0}: Cannot return {1} units. Only {2} units remaining for return (Original: {3}, Already returned: {4})",
"Item {0}: Cannot return {1}, maximum returnable is {2}",
Item {0}: Discount {1}% exceeds maximum allowed {2}%,
Item {0}: Quantity must be greater than zero,
Item {0}: Rate cannot be negative,
Items,চলছে
Journal Entry,জার্নাল এন্ট্রি
Journal Entry {0} has no unallocated amount remaining.,
Label,লেবেল
Label Size,
Large (60×40mm),
Linked Invoices,লিঙ্কড ইনভয়েসেস
Loading in-transit stock...,
Loading pending orders...,
Loading suppliers...,
Loyalty,
Loyalty Information,
Loyalty Point,
Loyalty Point Scheme,
Loyalty Points,আনুগত্য পয়েন্ট
Loyalty Points Redeemed,
Loyalty Program,বিশ্বস্ততা প্রোগ্রাম
Loyalty Program is required,
Loyalty Program {0} not found,
Manage loyalty for,
Material transfers awaiting receipt at your warehouse,
Max Amount,সর্বোচ্চ পরিমাণ
Max Quantity,
Maximum Use,সর্বাধিক ব্যবহার
Medium (50×30mm),
Method,পদ্ধতি
Min Amount,ন্যূনতম পরিমাণ
Min Quantity,
Missing Dependency,
Mobile,মোবাইল
Mobile NO,
Mode Of Payment,পেমেন্ট মোড
Mode of Payment,পেমেন্ট মোড
Mode of Payments,পেমেন্ট পদ্ধতি
Modes of Payment,পেমেন্ট এর মোড
Movement Type,
Movement Type must be Expense or Deposit.,
Net Total,সর্বমোট
No allocation made for credit note {0},
No allocation made for payment {0},
No allocation was recorded for Credit Note {0}.,
No allocation was recorded for Journal Entry {0}.,
No allocation was recorded for Payment Entry {0}.,
No allocations were made.,
No batches available in {0} for {1}.,
No draft invoices found,
No groups found,
No in-transit stock,
No items found,
No items in cart to save.,
No items selected,
No items to invoice. Please ensure there are items on the Purchase Order.,
No items to receive.,
No items to receive. Please enter received quantities.,
No items to return.,
No loyalty programs available,
No matches found,
No material transfers pending receipt,
No open shift found. Please open a shift first.,
No orders found,
No outstanding invoices available for allocation of credit note {0},
No outstanding invoices available for allocation of payment {0},
No outstanding invoices were available to reconcile Credit Note {0}.,
No outstanding invoices were available to reconcile Journal Entry {0}.,
No outstanding invoices were available to reconcile Payment Entry {0}.,
No outstanding invoices were found for {0}.,
No pending stock,
"No query filters. Click \""Add Filter\"" to add one.",
No suppliers found,
No unallocated payments were available for reconciliation.,
No valid batches available in {0} for {1}.,
No valid items to receive.,
No valid items to return.,
Not Enrolled,
Number of decimal places encoded for the price.,
Number of digits representing the price before decimal places.,
Numpad,
Offer,
Offer Applied,
Offer Name,
Offers &amp; Coupons,
Offline,অফলাইন
Only One Use Per Customer,
Only cancelled POS Cash Movement records can be deleted.,
Only cancelled cash movements can be deleted.,
Only draft Quotations can be updated,
Only draft Sales Orders can be updated,
Only draft invoices can be deleted,
Only draft invoices can be updated,
Only draft invoices can be updated and submitted,
Only submitted cash movements can be cancelled.,
Only submitted or cancelled cash movements can be duplicated.,
Only the shift owner can create cash movement entries.,
Open,খোলা
Opening,উদ্বোধন
Opening Amount,খোলার পরিমাণ
Opening Balance Details,উদ্বোধনের ব্যালেন্স বিশদ
Order History,
Order only,
Order saved as draft,
Orders,আদেশ
Original invoice {0} not found,
Out of Stock,স্টক আউট
Outgoing Stock Entry is required.,
POS,পিওএস
POS Allowed Expense Account,
XPOS Allowed Source Account,
POS Cash Movement,
XPOS Closing Shift,
XPOS Closing Shift Detail,
XPOS Closing Shift Taxes,
XPOS Closing Shift {} against {} between selected period,
POS Coupon,
POS Coupon Detail,
POS Expense,
POS Expense is disabled for this POS Profile.,
POS Invoice,পস চালান
POS Offer,
POS Offer Detail,
POS Offer is disabled.,
POS Opening Shift,
XPOS Opening Shift Detail,
POS Opening Shift is required,
POS Opening Shift is required to compute the overview.,
POS Opening Shift is required.,
POS Opening Shift must be submitted and open.,
POS Opening Shift not found.,
POS Opening Shift {0} is not for the same POS Profile,
POS Opening Shift {0} is not for the same company,
POS Payment Entry Reference,
POS Payments,
POS Print Format Rule,
POS Profile,পিওএস প্রোফাইল
POS Profile company must match active POS Opening Shift company.,
POS Profile is not set. Please close and reopen the shift.,
POS Profile is required,
POS Profile is required to create purchase documents.,
POS Profile is required.,
POS Profile must match the active POS Opening Shift profile.,
POS Profile must match the selected POS Opening Shift profile.,
POS Profile {} does not belongs to company {},পস প্রোফাইল {} সংস্থার নয় {company
"POS Profile, Customer, and Items are required",
POS Profiles,
POS Sales Person Filter,
POS Shift {0} is not open,
POS Transactions,পস লেনদেন
POS credit redemption for Sales Invoice {0},
POS expense recorded,
POS profile data is missing or invalid.,
Password,পাসওয়ার্ড
Pay {0},
Payment,প্রদান
Payment Entry,পেমেন্ট এন্ট্রি
Payment Entry is already created or payment account is not matched,
Payment Entry {0} has no unallocated amount remaining.,
Payment Gateway Account not found,
Payment Reconciliation,পেমেন্ট রিকনসিলিয়েশন
Payment Request for {0},{0} জন্য পেমেন্ট অনুরোধ
Payment amount cannot be less than or equal to 0,প্রদানের পরিমাণ 0 এর চেয়ে কম বা সমান হতে পারে না
Payment amount must be greater than zero,
Payment {0} is already fully allocated,
Payments,পেমেন্টস্
Pending,বিচারাধীন
Period End Date,সময়কাল শেষ তারিখ
Period Start Date,সময়ের শুরু তারিখ
Phone number,
Please enter the phone number first,প্রথমে ফোন নম্বরটি প্রবেশ করান
Please select Coupon Code Based POS Offer.,
Please select a customer before adding items to the cart,
Please select a customer before holding the order.,
Please select the correct POS Offer with the same company.,
Please select the customer.,দয়া করে গ্রাহক নির্বাচন করুন।
Please set Default Payable Account in Company {0},
Please set default account for Mode of Payment {0} in company {1},
Point of Sale System,
Points Earned,
Points Redeemed,
Points Value,
"Positions are 1-indexed and counted on the full barcode. Example: 3310100010009 => prefix 331, item code 3310100, weight 1.000, check digit 9.",
Posting Date,পোস্টিং তারিখ
Prefix,উপসর্গ
Prefix included in barcode,
Prefix length,
"Prefix length (for example, prefix 331 => length 3). Item/weight start positions still use full barcode positions.",
Price,মূল্য
Price Discount Scheme ,
