"1-indexed start position of item code in the full barcode. Example: for item code 3310100 in 3310100010009, start is 1.",
"1-indexed start position of weight segment. Example: in 3310100010009, weight starts at position 8.",
"<span class=\""h4\"">X POS</span>",
Accept Qty,
Account,એકાઉન્ટ
Account Head,એકાઉન્ટ હેડ
Accounts Manager,એકાઉન્ટ્સ વ્યવસ્થાપક
Accounts User,વપરાશકર્તા એકાઉન્ટ્સ
Add Filter,ફિલ્ટર ઉમેરો
Add New Supplier,
Add a new supplier to the system,
Add items to pay,
Add to Cart,સૂચી માં સામેલ કરો
Add/Edit Coupon Conditions,કૂપન શરતો ઉમેરો / સંપાદિત કરો
Additional Discount,વધારાના ડિસ્કાઉન્ટ
Administrator,સંચાલક
Against Name,
All,બધા
All Groups,
All orders have been received,
Allocated {0} across {1} payment(s).,
Allocation amount for payment {0} exceeds outstanding invoices,
Amended From,સુધારો
Amount,રકમ
Amount Due,
Amount exceeds POS Profile cash movement max amount.,
Amount must be greater than zero,
Amount must be greater than zero.,
Applied,એપ્લાઇડ
Apply,લાગુ પડે છે
Apply For,
Apply For POS Profiles,
Apply On,પર લાગુ પડે છે
Apply Rule On Brand,બ્રાન્ડ પર નિયમ લાગુ કરો
Apply Rule On Item Code,આઇટમ કોડ પર નિયમ લાગુ કરો
Apply Rule On Item Group,આઇટમ જૂથ પર નિયમ લાગુ કરો
Apply Type,
Are you sure you want to delete this draft?,
At least one item is required,
Auto Apply,
Auto-receive,
Available Programs,
Back Office Cash Account is fixed by POS Profile and cannot be overridden.,
Back Office Cash Account is required for cash deposit.,
Back Office Cash Account must be a Cash account.,
Back to Sign In,
Barcode,બારકોડ
Barcode Printer,
Barcode Structure,
Barcode Type,બારકોડ પ્રકાર
Barcode lookup failed,
Barcode {0} already exists.,
Barcodes,બારકોડ્સ
Brand,બ્રાન્ડ
Campaign,ઝુંબેશ
Cancel,રદ કરો
Cancelled,રદ કર્યું
Cancelling submitted cash movements is disabled for this POS Profile.,
Cannot add item to cart,
Cart,કાર્ટ
Cart is empty,
Cash Deposit,
Cash Deposit is disabled for this POS Profile.,
Cash Movement,
Cash Movement is disabled for this POS Profile.,
Cash deposit recorded,
Cash flow tracking,
Cash movement is already cancelled,
Cash movement {0} not found,
Cashier,કેશિયર
Change,બદલો
Change Given,
Check your email for reset instructions,
Clear All,
Clear cart,
Click on items to add them here,
Click to change customer,
Click to select customer,
Client Request ID,
Close,બંધ કરો
Close Shift,
Closed,બંધ
Closing,
Closing Amount,સમાપ્તિ રકમ
Closing...,
Company,કંપની
Company is required,
Company is required.,
Company must match the selected POS Opening Shift company.,
Company must match the selected POS Profile company.,
Contact administrator to set up loyalty programs,
Context is required,
Cost Center,ખર્ચ કેન્દ્રને
Cost Center is not set in pos profile {0},
Coupon,
Coupon Based,
Coupon Code,કુપનનૉ ગુપ્ત્તાન્ક
Coupon Code Based,કૂપન કોડ આધારિત
Coupon Description,કૂપન વર્ણન
Coupon Name,કૂપન નામ
Coupon Type,કૂપન પ્રકાર
Coupon has expired,
Coupon is not valid for this customer,
Coupon is not yet valid,
Create New Supplier,
Create Supplier,
Create items,
Create suppliers,
Created By,દ્વારા બનાવવામાં
Creating...,
Credit Note,ઉધાર નોધ
Credit Note {0} has no remaining balance to allocate.,
Credit note {0} is already fully allocated,
Credit note {0} still has an unapplied balance of {1},
Currency,કરન્સી
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}",
Currency is required,
Customer,ગ્રાહક
Customer Group,ગ્રાહક જૂથ
Customer Name,ગ્રાહક નું નામ
Customer already exists,
Customer is already enrolled in {0},
Customer is already enrolled in {0}. Please unenroll from the current program first.,
Customer is not enrolled in any loyalty program,
Customer is required,ગ્રાહક જરૂરી છે
Customer is required to create an address,
Customer locked for return,
Customer mismatch: Return must be for the same customer ({0}) as the original invoice,
Customer name is required,
Customer {0} not found,
"Customer, Company, Amount, and Mode of Payment are required",
Date,તારીખ
Date & Time,
Default Loyalty Program,
Default Rate,
Default Rate is required,
Delete draft,
Deleting cancelled cash movements is disabled for this POS Profile.,
Delivery Charges,
Delivery Charges POS Profile,
Deposit,
Deposit To,
Description,વર્ણન
Details,વિગતો
Difference,તફાવત
Digits after decimal. Example: 1.000 => decimals 3.,
"Digits before decimal. Example: for 1.000, use 1 (or 2 if your scale encodes 01.000).",
Disable,અક્ષમ કરો
Disabled,અક્ષમ
Discount,ડિસ્કાઉન્ટ
Discount %,
Discount Amount,ડિસ્કાઉન્ટ રકમ
Discount Percentage,ડિસ્કાઉન્ટ ટકાવારી
Discount Type,ડિસ્કાઉન્ટનો પ્રકાર
Discount amount,
Draft,ડ્રાફ્ટ
Draft invoice deleted,
Draft invoice restored to cart,
Email,ઇમેઇલ
Email Address,ઈ - મેઈલ સરનામું
Email ID,ઇમેઇલ આઈડી
Email Sent Successfully,
Email address,ઈ - મેઈલ સરનામું
Email or Username,
Enable only if barcode also contains price segment.,
"Enable when your barcode starts with a fixed prefix value (for example, 331).",
Enroll Customer,
Enrolled,નોંધાયેલ
Enrolling...,નોંધણી કરી રહ્યું છે ...
Enter coupon code...,
Enter reason for this transaction...,
Enter supplier name,
Enter the email address associated with your account,
Enter your email address,
Enter your email or username,
Enter your email to receive a password reset link,
Enter your password,તમારો પાસવર્ડ દાખલ કરો
Expected,
Expected Amount,અપેક્ષિત રકમ
Expense,ખર્ચ
Expense Account,ખર્ચ એકાઉન્ટ
Expense Account is required for expense entries.,
Expense account is required,
Expense account is required for POS Expense.,
Expense target account must match Expense Account.,
Expires,
Failed to create payment request: {0},
Failed to delete draft invoice,
Failed to fetch draft invoices,
Failed to load draft invoice,
Failed to reconcile Credit Note {0}: {1},
Failed to reconcile Journal Entry {0}: {1},
Failed to reconcile Payment Entry {0}: {1},
Failed to record cash movement,
Failed to save draft: {0},
Failed to validate coupon,
Final Customer Offer,
"Fixed starting value of all scale barcodes (for example, 331). If set, barcodes not starting with this value are ignored.",
Forgot password?,
Generate and print barcode labels for items,
Generating...,
Gift Card,ગિફ્ટ કાર્ડ
Give Item,
Give Item Row ID,
Give Product,
Given Quantity,
Grand Total,કુલ સરવાળો
In Transit,પરિવહનમાં
In-Transit,
In-Transit Stock,
Include QR Code,
Individual,વ્યક્તિગત
Invalid Opening Entry,અમાન્ય ખોલીને પ્રવેશ
Invalid POS Opening Shift data provided.,
Invalid Period,અમાન્ય સમયગાળો
Invalid language code,
Invalid language code format: {0},
Invalid movement type for journal entry.,
Invalid movement type.,
Invalid or already used coupon code,
Invalid or expired coupon code,
Invalid payload for cash movement.,
Invalid posting date.,
Invalid {0} filter,
Invoice,ભરતિયું
Invoice Amount,
Invoice Currency,
Invoice details,
Invoice name is required for update,
Invoice {0} Deleted,
Invoice {0} does not exist,
Invoice {0} not found,
Item,વસ્તુ
Item Code,વસ્તુ કોડ
Item Code and Price List are required,
Item Code is required,
Item Discounts,
Item Group,વસ્તુ ગ્રુપ
Item Price,વસ્તુ ભાવ
Item Price has been added or updated,
Item Rate Should Less Then,
Item code digits,
Item code is required.,
Item code starting position,
Item {0} was not in the original invoice {1},
"Item {0}: Cannot return {1} units. Only {2} units remaining for return (Original: {3}, Already returned: {4})",
"Item {0}: Cannot return {1}, maximum returnable is {2}",
Item {0}: Discount {1}% exceeds maximum allowed {2}%,
Item {0}: Quantity must be greater than zero,
Item {0}: Rate cannot be negative,
Items,વસ્તુઓ
Journal Entry,જર્નલ પ્રવેશ
Journal Entry {0} has no unallocated amount remaining.,
Label,લેબલ
Label Size,
Large (60×40mm),
Linked Invoices,લિંક કરેલ ઇનવૉઇસેસ
Loading in-transit stock...,
Loading pending orders...,
Loading suppliers...,
Loyalty,
Loyalty Information,
Loyalty Point,
Loyalty Point Scheme,
Loyalty Points,લોયલ્ટી પોઇંટ્સ
Loyalty Points Redeemed,
Loyalty Program,લોયલ્ટી પ્રોગ્રામ
Loyalty Program is required,
Loyalty Program {0} not found,
Manage loyalty for,
Material transfers awaiting receipt at your warehouse,
Max Amount,મહત્તમ રકમ
Max Quantity,
Maximum Use,મહત્તમ ઉપયોગ
Medium (50×30mm),
Method,પદ્ધતિ
Min Amount,મીન રકમ
Min Quantity,
Missing Dependency,
Mobile,મોબાઇલ
Mobile NO,
Mode Of Payment,ચૂકવણીની પદ્ધતિ
Mode of Payment,ચૂકવણીની પદ્ધતિ
Mode of Payments,ચૂકવણીની પદ્ધતિ
Modes of Payment,ચુકવણીનાં મોડ્સ
Movement Type,
Movement Type must be Expense or Deposit.,
Net Total,નેટ કુલ
No allocation made for credit note {0},
No allocation made for payment {0},
No allocation was recorded for Credit Note {0}.,
No allocation was recorded for Journal Entry {0}.,
No allocation was recorded for Payment Entry {0}.,
No allocations were made.,
No batches available in {0} for {1}.,
No draft invoices found,
No groups found,
No in-transit stock,
No items found,
No items in cart to save.,
No items selected,
No items to invoice. Please ensure there are items on the Purchase Order.,
No items to receive.,
No items to receive. Please enter received quantities.,
No items to return.,
No loyalty programs available,
No matches found,
No material transfers pending receipt,
No open shift found. Please open a shift first.,
No orders found,
No outstanding invoices available for allocation of credit note {0},
No outstanding invoices available for allocation of payment {0},
No outstanding invoices were available to reconcile Credit Note {0}.,
No outstanding invoices were available to reconcile Journal Entry {0}.,
No outstanding invoices were available to reconcile Payment Entry {0}.,
No outstanding invoices were found for {0}.,
No pending stock,
"No query filters. Click \""Add Filter\"" to add one.",
No suppliers found,
No unallocated payments were available for reconciliation.,
No valid batches available in {0} for {1}.,
No valid items to receive.,
No valid items to return.,
Not Enrolled,
Number of decimal places encoded for the price.,
Number of digits representing the price before decimal places.,
Numpad,
Offer,
Offer Applied,
Offer Name,
Offers &amp; Coupons,
Offline,ઑફલાઇન
Only One Use Per Customer,
Only cancelled POS Cash Movement records can be deleted.,
Only cancelled cash movements can be deleted.,
Only draft Quotations can be updated,
Only draft Sales Orders can be updated,
Only draft invoices can be deleted,
Only draft invoices can be updated,
Only draft invoices can be updated and submitted,
Only submitted cash movements can be cancelled.,
Only submitted or cancelled cash movements can be duplicated.,
Only the shift owner can create cash movement entries.,
Open,ઓપન
Opening,ખુલી
Opening Amount,ખુલી રકમ
Opening Balance Details,બેલેન્સ વિગતો ખોલી રહ્યા છે
Order History,
Order only,
Order saved as draft,
Orders,ઓર્ડર્સ
Original invoice {0} not found,
Out of Stock,સ્ટોક આઉટ
Outgoing Stock Entry is required.,
POS,POS
POS Allowed Expense Account,
XPOS Allowed Source Account,
POS Cash Movement,
XPOS Closing Shift,
XPOS Closing Shift Detail,
XPOS Closing Shift Taxes,
XPOS Closing Shift {} against {} between selected period,
POS Coupon,
POS Coupon Detail,
POS Expense,
POS Expense is disabled for this POS Profile.,
POS Invoice,પોસ ઇન્વoiceઇસ
POS Offer,
POS Offer Detail,
POS Offer is disabled.,
POS Opening Shift,
XPOS Opening Shift Detail,
POS Opening Shift is required,
POS Opening Shift is required to compute the overview.,
POS Opening Shift is required.,
POS Opening Shift must be submitted and open.,
POS Opening Shift not found.,
POS Opening Shift {0} is not for the same POS Profile,
POS Opening Shift {0} is not for the same company,
POS Payment Entry Reference,
POS Payments,
POS Print Format Rule,
POS Profile,POS પ્રોફાઇલ
POS Profile company must match active POS Opening Shift company.,
POS Profile is not set. Please close and reopen the shift.,
POS Profile is required,
POS Profile is required to create purchase documents.,
POS Profile is required.,
POS Profile must match the active POS Opening Shift profile.,
POS Profile must match the selected POS Opening Shift profile.,
POS Profile {} does not belongs to company {},પીઓએસ પ્રોફાઇલ {company કંપનીની નથી {}
"POS Profile, Customer, and Items are required",
POS Profiles,
POS Sales Person Filter,
POS Shift {0} is not open,
POS Transactions,પીઓએસ વ્યવહારો
POS credit redemption for Sales Invoice {0},
POS expense recorded,
POS profile data is missing or invalid.,
Password,પાસવર્ડ
Pay {0},
Payment,ચુકવણી
Payment Entry,ચુકવણી એન્ટ્રી
Payment Entry is already created or payment account is not matched,
Payment Entry {0} has no unallocated amount remaining.,
Payment Gateway Account not found,
Payment Reconciliation,ચુકવણી રિકંસીલેશન
Payment Request for {0},{0} માટે ચુકવણીની વિનંતી
Payment amount cannot be less than or equal to 0,ચુકવણીની રકમ 0 કરતા ઓછી અથવા સમાન હોઇ શકે નહીં
Payment amount must be greater than zero,
Payment {0} is already fully allocated,
Payments,ચુકવણીઓ
Pending,બાકી
Period End Date,પીરિયડ સમાપ્તિ તારીખ
Period Start Date,પીરિયડ પ્રારંભ તારીખ
Phone number,
Please enter the phone number first,કૃપા કરીને પહેલા ફોન નંબર દાખલ કરો
Please select Coupon Code Based POS Offer.,
Please select a customer before adding items to the cart,
Please select a customer before holding the order.,
Please select the correct POS Offer with the same company.,
Please select the customer.,કૃપા કરીને ગ્રાહક પસંદ કરો.
Please set Default Payable Account in Company {0},
Please set default account for Mode of Payment {0} in company {1},
Point of Sale System,
Points Earned,
Points Redeemed,
Points Value,
