"1-indexed start position of item code in the full barcode. Example: for item code 3310100 in 3310100010009, start is 1.",
"1-indexed start position of weight segment. Example: in 3310100010009, weight starts at position 8.",
"<span class=\""h4\"">X POS</span>",
Accept Qty,
Account,ಖಾತೆ
Account Head,ಖಾತೆ ಹೆಡ್
Accounts Manager,ಖಾತೆಗಳು ಮ್ಯಾನೇಜರ್
Accounts User,ಬಳಕೆದಾರ ಖಾತೆಗಳು
Add Filter,ಫಿಲ್ಟರ್ ಸೇರಿಸಿ
Add New Supplier,
Add a new supplier to the system,
Add items to pay,
Add to Cart,ಕಾರ್ಟ್ ಸೇರಿಸಿ
Add/Edit Coupon Conditions,ಕೂಪನ್ ಷರತ್ತುಗಳನ್ನು ಸೇರಿಸಿ / ಸಂಪಾದಿಸಿ
Additional Discount,ಹೆಚ್ಚುವರಿ ರಿಯಾಯಿತಿ
Administrator,ನಿರ್ವಾಹಕ
Against Name,
All,ಎಲ್ಲಾ
All Groups,
All orders have been received,
Allocated {0} across {1} payment(s).,
Allocation amount for payment {0} exceeds outstanding invoices,
Amended From,ಗೆ ತಿದ್ದುಪಡಿ
Amount,ಪ್ರಮಾಣ
Amount Due,
Amount exceeds POS Profile cash movement max amount.,
Amount must be greater than zero,
Amount must be greater than zero.,
Applied,ಅಪ್ಲೈಡ್
Apply,ಅನ್ವಯಿಸು
Apply For,
Apply For POS Profiles,
Apply On,ಅನ್ವಯಿಸುತ್ತದೆ
Apply Rule On Brand,ಬ್ರಾಂಡ್ನಲ್ಲಿ ನಿಯಮವನ್ನು ಅನ್ವಯಿಸಿ
Apply Rule On Item Code,ಐಟಂ ಕೋಡ್‌ನಲ್ಲಿ ನಿಯಮವನ್ನು ಅನ್ವಯಿಸಿ
Apply Rule On Item Group,ಐಟಂ ಗುಂಪಿನಲ್ಲಿ ನಿಯಮವನ್ನು ಅನ್ವಯಿಸಿ
Apply Type,
Are you sure you want to delete this draft?,
At least one item is required,
Auto Apply,
Auto-receive,
Available Programs,
Back Office Cash Account is fixed by POS Profile and cannot be overridden.,
Back Office Cash Account is required for cash deposit.,
Back Office Cash Account must be a Cash account.,
Back to Sign In,
Barcode,ಬಾರ್‌ಕೋಡ್
Barcode Printer,
Barcode Structure,
Barcode Type,ಬಾರ್ಕೋಡ್ ಪ್ರಕಾರ
Barcode lookup failed,
Barcode {0} already exists.,
Barcodes,ಬಾರ್ಕೋಡ್ಗಳು
Brand,ಬೆಂಕಿ
Campaign,ದಂಡಯಾತ್ರೆ
Cancel,ರದ್ದು
Cancelled,ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ
Cancelling submitted cash movements is disabled for this POS Profile.,
Cannot add item to cart,
Cart,ಕಾರ್ಟ್
Cart is empty,
Cash Deposit,
Cash Deposit is disabled for this POS Profile.,
Cash Movement,
Cash Movement is disabled for this POS Profile.,
Cash deposit recorded,
Cash flow tracking,
Cash movement is already cancelled,
Cash movement {0} not found,
Cashier,ಕ್ಯಾಷಿಯರ್
Change,ಬದಲಾವಣೆ
Change Given,
Check your email for reset instructions,
Clear All,
Clear cart,
Click on items to add them here,
Click to change customer,
Click to select customer,
Client Request ID,
Close,ಮುಚ್ಚಿ
Close Shift,
Closed,ಮುಚ್ಚಲಾಗಿದೆ
Closing,
Closing Amount,ಮುಚ್ಚುವ ಮೊತ್ತ
Closing...,
Company,ಕಂಪನಿ
Company is required,
Company is required.,
Company must match the selected POS Opening Shift company.,
Company must match the selected POS Profile company.,
Contact administrator to set up loyalty programs,
Context is required,
Cost Center,ವೆಚ್ಚ ಸೆಂಟರ್
Cost Center is not set in pos profile {0},
Coupon,
Coupon Based,
Coupon Code,ಕೂಪನ್ ಕೋಡ್
Coupon Code Based,ಕೂಪನ್ ಕೋಡ್ ಆಧಾರಿತ
Coupon Description,ಕೂಪನ್ ವಿವರಣೆ
Coupon Name,ಕೂಪನ್ ಹೆಸರು
Coupon Type,ಕೂಪನ್ ಪ್ರಕಾರ
Coupon has expired,
Coupon is not valid for this customer,
Coupon is not yet valid,
Create New Supplier,
Create Supplier,
Create items,
Create suppliers,
Created By,ದಾಖಲಿಸಿದವರು
Creating...,
Credit Note,ಕ್ರೆಡಿಟ್ ಸ್ಕೋರ್
Credit Note {0} has no remaining balance to allocate.,
Credit note {0} is already fully allocated,
Credit note {0} still has an unapplied balance of {1},
Currency,ಕರೆನ್ಸಿ
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}",
Currency is required,
Customer,ಗಿರಾಕಿ
Customer Group,ಗ್ರಾಹಕ ಗುಂಪಿನ
Customer Name,ಗ್ರಾಹಕ ಹೆಸರು
Customer already exists,
Customer is already enrolled in {0},
Customer is already enrolled in {0}. Please unenroll from the current program first.,
Customer is not enrolled in any loyalty program,
Customer is required,ಗ್ರಾಹಕ ಅಗತ್ಯವಿದೆ
Customer is required to create an address,
Customer locked for return,
Customer mismatch: Return must be for the same customer ({0}) as the original invoice,
Customer name is required,
Customer {0} not found,
"Customer, Company, Amount, and Mode of Payment are required",
Date,ದಿನಾಂಕ
Date & Time,
Default Loyalty Program,
Default Rate,
Default Rate is required,
Delete draft,
Deleting cancelled cash movements is disabled for this POS Profile.,
Delivery Charges,
Delivery Charges POS Profile,
Deposit,
Deposit To,
Description,ವಿವರಣೆ
Details,ವಿವರಗಳು
Difference,ವ್ಯತ್ಯಾಸ
Digits after decimal. Example: 1.000 => decimals 3.,
"Digits before decimal. Example: for 1.000, use 1 (or 2 if your scale encodes 01.000).",
Disable,ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ
Disabled,ಅಂಗವಿಕಲ
Discount,ರಿಯಾಯಿತಿ
Discount %,
Discount Amount,ರಿಯಾಯಿತಿ ಪ್ರಮಾಣ
Discount Percentage,ರಿಯಾಯಿತಿ ಶೇಕಡಾವಾರು
Discount Type,ರಿಯಾಯಿತಿ ಪ್ರಕಾರ
Discount amount,
Draft,ಕರಡು
Draft invoice deleted,
Draft invoice restored to cart,
Email,ಇಮೇಲ್
Email Address,ಇಮೇಲ್ ವಿಳಾಸ
Email ID,ಇಮೇಲ್ ID
Email Sent Successfully,
Email address,ಇಮೇಲ್ ವಿಳಾಸ
Email or Username,
Enable only if barcode also contains price segment.,
"Enable when your barcode starts with a fixed prefix value (for example, 331).",
Enroll Customer,
Enrolled,ಸೇರಿಕೊಂಡಳು
Enrolling...,ದಾಖಲಾಗುತ್ತಿದೆ ...
Enter coupon code...,
Enter reason for this transaction...,
Enter supplier name,
Enter the email address associated with your account,
Enter your email address,
Enter your email or username,
Enter your email to receive a password reset link,
Enter your password,ನಿಮ್ಮ ಗುಪ್ತಪದವನ್ನು ನಮೂದಿಸಿ
Expected,
Expected Amount,ನಿರೀಕ್ಷಿತ ಮೊತ್ತ
Expense,ಖರ್ಚುವೆಚ್ಚಗಳು
Expense Account,ವೆಚ್ಚದಲ್ಲಿ ಖಾತೆಯನ್ನು
Expense Account is required for expense entries.,
Expense account is required,
Expense account is required for POS Expense.,
Expense target account must match Expense Account.,
Expires,
Failed to create payment request: {0},
Failed to delete draft invoice,
Failed to fetch draft invoices,
Failed to load draft invoice,
Failed to reconcile Credit Note {0}: {1},
Failed to reconcile Journal Entry {0}: {1},
Failed to reconcile Payment Entry {0}: {1},
Failed to record cash movement,
Failed to save draft: {0},
Failed to validate coupon,
Final Customer Offer,
"Fixed starting value of all scale barcodes (for example, 331). If set, barcodes not starting with this value are ignored.",
Forgot password?,
Generate and print barcode labels for items,
Generating...,
Gift Card,ಉಡುಗೊರೆ ಪತ್ರ
Give Item,
Give Item Row ID,
Give Product,
Given Quantity,
Grand Total,ಗ್ರ್ಯಾಂಡ್ ಒಟ್ಟು
In Transit,ಸಾಗಣೆಯಲ್ಲಿ
In-Transit,
In-Transit Stock,
Include QR Code,
Individual,ಇಂಡಿವಿಜುವಲ್
Invalid Opening Entry,ಅಮಾನ್ಯ ತೆರೆಯುವ ಪ್ರವೇಶ
Invalid POS Opening Shift data provided.,
Invalid Period,ಅಮಾನ್ಯ ಅವಧಿ
Invalid language code,
Invalid language code format: {0},
Invalid movement type for journal entry.,
Invalid movement type.,
Invalid or already used coupon code,
Invalid or expired coupon code,
Invalid payload for cash movement.,
Invalid posting date.,
Invalid {0} filter,
Invoice,ಸರಕುಪಟ್ಟಿ
Invoice Amount,
Invoice Currency,
Invoice details,
Invoice name is required for update,
Invoice {0} Deleted,
Invoice {0} does not exist,
Invoice {0} not found,
Item,ವಸ್ತು
Item Code,ಐಟಂ ಕೋಡ್
Item Code and Price List are required,
Item Code is required,
Item Discounts,
Item Group,ಐಟಂ ಗುಂಪು
Item Price,ಐಟಂ ಬೆಲೆ
Item Price has been added or updated,
Item Rate Should Less Then,
Item code digits,
Item code is required.,
Item code starting position,
Item {0} was not in the original invoice {1},
"Item {0}: Cannot return {1} units. Only {2} units remaining for return (Original: {3}, Already returned: {4})",
"Item {0}: Cannot return {1}, maximum returnable is {2}",
Item {0}: Discount {1}% exceeds maximum allowed {2}%,
Item {0}: Quantity must be greater than zero,
Item {0}: Rate cannot be negative,
Items,ಐಟಂಗಳನ್ನು
Journal Entry,ಜರ್ನಲ್ ಎಂಟ್ರಿ
Journal Entry {0} has no unallocated amount remaining.,
Label,ಚೀಟಿ
Label Size,
Large (60×40mm),
Linked Invoices,ಲಿಂಕ್ಡ್ ಇನ್ವಾಯ್ಸ್ಗಳು
Loading in-transit stock...,
Loading pending orders...,
Loading suppliers...,
Loyalty,
Loyalty Information,
Loyalty Point,
Loyalty Point Scheme,
Loyalty Points,ಲಾಯಲ್ಟಿ ಪಾಯಿಂಟುಗಳು
Loyalty Points Redeemed,
Loyalty Program,ಲಾಯಲ್ಟಿ ಪ್ರೋಗ್ರಾಂ
Loyalty Program is required,
Loyalty Program {0} not found,
Manage loyalty for,
Material transfers awaiting receipt at your warehouse,
Max Amount,ಗರಿಷ್ಠ ಮೊತ್ತ
Max Quantity,
Maximum Use,ಗರಿಷ್ಠ ಬಳಕೆ
Medium (50×30mm),
Method,ವಿಧಾನ
Min Amount,ಕನಿಷ್ಠ ಮೊತ್ತ
Min Quantity,
Missing Dependency,
Mobile,ಮೊಬೈಲ್
Mobile NO,
Mode Of Payment,ಪಾವತಿಯ ಮೋಡ್
Mode of Payment,ಪಾವತಿಯ ಮೋಡ್
Mode of Payments,ಪಾವತಿಯ ಮೋಡ್
Modes of Payment,ಪಾವತಿಯ ವಿಧಾನಗಳು
Movement Type,
Movement Type must be Expense or Deposit.,
Net Total,ನೆಟ್ ಒಟ್ಟು
No allocation made for credit note {0},
No allocation made for payment {0},
No allocation was recorded for Credit Note {0}.,
No allocation was recorded for Journal Entry {0}.,
No allocation was recorded for Payment Entry {0}.,
No allocations were made.,
No batches available in {0} for {1}.,
No draft invoices found,
No groups found,
No in-transit stock,
No items found,
No items in cart to save.,
No items selected,
No items to invoice. Please ensure there are items on the Purchase Order.,
No items to receive.,
No items to receive. Please enter received quantities.,
No items to return.,
No loyalty programs available,
No matches found,
No material transfers pending receipt,
No open shift found. Please open a shift first.,
No orders found,
No outstanding invoices available for allocation of credit note {0},
No outstanding invoices available for allocation of payment {0},
No outstanding invoices were available to reconcile Credit Note {0}.,
No outstanding invoices were available to reconcile Journal Entry {0}.,
No outstanding invoices were available to reconcile Payment Entry {0}.,
No outstanding invoices were found for {0}.,
No pending stock,
"No query filters. Click \""Add Filter\"" to add one.",
No suppliers found,
No unallocated payments were available for reconciliation.,
No valid batches available in {0} for {1}.,
No valid items to receive.,
No valid items to return.,
Not Enrolled,
Number of decimal places encoded for the price.,
Number of digits representing the price before decimal places.,
Numpad,
Offer,
Offer Applied,
Offer Name,
Offers &amp; Coupons,
Offline,ಆಫ್ಲೈನ್
Only One Use Per Customer,
Only cancelled POS Cash Movement records can be deleted.,
Only cancelled cash movements can be deleted.,
Only draft Quotations can be updated,
Only draft Sales Orders can be updated,
Only draft invoices can be deleted,
Only draft invoices can be updated,
Only draft invoices can be updated and submitted,
Only submitted cash movements can be cancelled.,
Only submitted or cancelled cash movements can be duplicated.,
Only the shift owner can create cash movement entries.,
Open,ತೆರೆದ
Opening,ಆರಂಭಿಕ
Opening Amount,ತೆರೆಯುವ ಮೊತ್ತ
Opening Balance Details,ಬ್ಯಾಲೆನ್ಸ್ ವಿವರಗಳನ್ನು ತೆರೆಯಲಾಗುತ್ತಿದೆ
Order History,
Order only,
Order saved as draft,
Orders,ಆರ್ಡರ್ಸ್
Original invoice {0} not found,
Out of Stock,ಸ್ಟಾಕ್ ಮೀರಿದೆ
Outgoing Stock Entry is required.,
POS,ಪಿಓಎಸ್
POS Allowed Expense Account,
XPOS Allowed Source Account,
POS Cash Movement,
XPOS Closing Shift,
XPOS Closing Shift Detail,
XPOS Closing Shift Taxes,
XPOS Closing Shift {} against {} between selected period,
POS Coupon,
POS Coupon Detail,
