"1-indexed start position of item code in the full barcode. Example: for item code 3310100 in 3310100010009, start is 1.",
"1-indexed start position of weight segment. Example: in 3310100010009, weight starts at position 8.",
"<span class=\""h4\"">X POS</span>",
Accept Qty,
Account,ບັນຊີ
Account Head,ຫົວຫນ້າບັນຊີ
Accounts Manager,ຄຸ້ມຄອງບັນຊີ
Accounts User,ບັນຊີຜູ້ໃຊ້
Add Filter,ເພີ່ມການກັ່ນຕອງ
Add New Supplier,
Add a new supplier to the system,
Add items to pay,
Add to Cart,ຕື່ມການກັບໂຄງຮ່າງການ
Add/Edit Coupon Conditions,ເພີ່ມ / ແກ້ໄຂເງື່ອນໄຂຄູປອງ
Additional Discount,ສ່ວນລົດເພີ່ມເຕີມ
Administrator,Administrator
Against Name,
All,ທັງ ໝົດ
All Groups,
All orders have been received,
Allocated {0} across {1} payment(s).,
Allocation amount for payment {0} exceeds outstanding invoices,
Amended From,ສະບັບປັບປຸງຈາກ
Amount,ຈໍານວນ
Amount Due,
Amount exceeds POS Profile cash movement max amount.,
Amount must be greater than zero,
Amount must be greater than zero.,
Applied,ການນໍາໃຊ້
Apply,ສະຫມັກຂໍເອົາ
Apply For,
Apply For POS Profiles,
Apply On,ສະຫມັກຕໍາກ່ຽວກັບ
Apply Rule On Brand,ນຳ ໃຊ້ກົດລະບຽບກ່ຽວກັບຍີ່ຫໍ້
Apply Rule On Item Code,ນຳ ໃຊ້ກົດລະບຽບໃນລາຍການ
Apply Rule On Item Group,ນຳ ໃຊ້ກົດລະບຽບໃນກຸ່ມລາຍການ
Apply Type,
Are you sure you want to delete this draft?,
At least one item is required,
Auto Apply,
Auto-receive,
Available Programs,
Back Office Cash Account is fixed by POS Profile and cannot be overridden.,
Back Office Cash Account is required for cash deposit.,
Back Office Cash Account must be a Cash account.,
Back to Sign In,
Barcode,ບາໂຄດ
Barcode Printer,
Barcode Structure,
Barcode Type,ປະເພດບາໂຄດ
Barcode lookup failed,
Barcode {0} already exists.,
Barcodes,Barcodes
Brand,ຍີ່ຫໍ້
Campaign,ການໂຄສະນາ
Cancel,ຍົກເລີກການ
Cancelled,ຍົກເລີກ
Cancelling submitted cash movements is disabled for this POS Profile.,
Cannot add item to cart,
Cart,ໂຄງຮ່າງການ
Cart is empty,
Cash Deposit,
Cash Deposit is disabled for this POS Profile.,
Cash Movement,
Cash Movement is disabled for this POS Profile.,
Cash deposit recorded,
Cash flow tracking,
Cash movement is already cancelled,
Cash movement {0} not found,
Cashier,ເງິນສົດ
Change,ການປ່ຽນແປງ
Change Given,
Check your email for reset instructions,
Clear All,
Clear cart,
Click on items to add them here,
Click to change customer,
Click to select customer,
Client Request ID,
Close,ປິດ
Close Shift,
Closed,ປິດ
Closing,
Closing Amount,ຈໍານວນເງິນທີ່ປິດ
Closing...,
Company,ບໍລິສັດ
Company is required,
Company is required.,
Company must match the selected POS Opening Shift company.,
Company must match the selected POS Profile company.,
Contact administrator to set up loyalty programs,
Context is required,
Cost Center,ສູນຕົ້ນທຶນ
Cost Center is not set in pos profile {0},
Coupon,
Coupon Based,
Coupon Code,ລະຫັດຄູປອງ
Coupon Code Based,ລະຫັດຄູປອງອີງ
Coupon Description,ລາຍລະອຽດຄູປອງ
Coupon Name,ຊື່ຄູປອງ
Coupon Type,ປະເພດຄູປອງ
Coupon has expired,
Coupon is not valid for this customer,
Coupon is not yet valid,
Create New Supplier,
Create Supplier,
Create items,
Create suppliers,
Created By,ສ້າງໂດຍ
Creating...,
Credit Note,Credit Note
Credit Note {0} has no remaining balance to allocate.,
Credit note {0} is already fully allocated,
Credit note {0} still has an unapplied balance of {1},
Currency,ສະກຸນເງິນ
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}",
Currency is required,
Customer,ລູກຄ້າ
Customer Group,ກຸ່ມລູກຄ້າ
Customer Name,ຊື່ຂອງລູກຄ້າ
Customer already exists,
Customer is already enrolled in {0},
Customer is already enrolled in {0}. Please unenroll from the current program first.,
Customer is not enrolled in any loyalty program,
Customer is required,ລູກຄ້າທີ່ຕ້ອງການ
Customer is required to create an address,
Customer locked for return,
Customer mismatch: Return must be for the same customer ({0}) as the original invoice,
Customer name is required,
Customer {0} not found,
"Customer, Company, Amount, and Mode of Payment are required",
Date,ວັນທີ່ສະຫມັກ
Date & Time,
Default Loyalty Program,
Default Rate,
Default Rate is required,
Delete draft,
Deleting cancelled cash movements is disabled for this POS Profile.,
Delivery Charges,
Delivery Charges POS Profile,
Deposit,
Deposit To,
Description,ລາຍລະອຽດ
Details,ລາຍລະອຽດ
Difference,ຄວາມແຕກຕ່າງ
Digits after decimal. Example: 1.000 => decimals 3.,
"Digits before decimal. Example: for 1.000, use 1 (or 2 if your scale encodes 01.000).",
Disable,ປິດການທໍາງານ
Disabled,ຄົນພິການ
Discount,ສ່ວນລົດ
Discount %,
Discount Amount,ຈໍານວນສ່ວນລົດ
Discount Percentage,ເປີເຊັນສ່ວນລົດ
Discount Type,ປະເພດຫຼຸດລາຄາ
Discount amount,
Draft,ຮ່າງ
Draft invoice deleted,
Draft invoice restored to cart,
Email,ອີເມລ
Email Address,ທີ່ຢູ່ອີເມວ
Email ID,Email ID
Email Sent Successfully,
Email address,ທີ່ຢູ່ອີເມວ
Email or Username,
Enable only if barcode also contains price segment.,
"Enable when your barcode starts with a fixed prefix value (for example, 331).",
Enroll Customer,
Enrolled,ລົງທະບຽນ
Enrolling...,ກຳ ລັງລົງທະບຽນ ...
Enter coupon code...,
Enter reason for this transaction...,
Enter supplier name,
Enter the email address associated with your account,
Enter your email address,
Enter your email or username,
Enter your email to receive a password reset link,
Enter your password,ກະລຸນາໃສ່ລະຫັດຜ່ານຂອງທ່ານ
Expected,
Expected Amount,ຈໍານວນທີ່ຄາດໄວ້
Expense,ຄ່າໃຊ້ຈ່າຍ
Expense Account,ບັນຊີຄ່າໃຊ້ຈ່າຍ
Expense Account is required for expense entries.,
Expense account is required,
Expense account is required for POS Expense.,
Expense target account must match Expense Account.,
Expires,
Failed to create payment request: {0},
Failed to delete draft invoice,
Failed to fetch draft invoices,
Failed to load draft invoice,
Failed to reconcile Credit Note {0}: {1},
Failed to reconcile Journal Entry {0}: {1},
Failed to reconcile Payment Entry {0}: {1},
Failed to record cash movement,
Failed to save draft: {0},
Failed to validate coupon,
Final Customer Offer,
"Fixed starting value of all scale barcodes (for example, 331). If set, barcodes not starting with this value are ignored.",
Forgot password?,
Generate and print barcode labels for items,
Generating...,
Gift Card,ບັດຂອງຂວັນ
Give Item,
Give Item Row ID,
Give Product,
Given Quantity,
Grand Total,ລວມທັງຫມົດ
In Transit,ໃນການຂົນສົ່ງ
In-Transit,
In-Transit Stock,
Include QR Code,
Individual,ບຸກຄົນ
Invalid Opening Entry,ການເຂົ້າປະມູນທີ່ບໍ່ຖືກຕ້ອງ
Invalid POS Opening Shift data provided.,
Invalid Period,ໄລຍະເວລາທີ່ບໍ່ຖືກຕ້ອງ
Invalid language code,
Invalid language code format: {0},
Invalid movement type for journal entry.,
Invalid movement type.,
Invalid or already used coupon code,
Invalid or expired coupon code,
Invalid payload for cash movement.,
Invalid posting date.,
Invalid {0} filter,
Invoice,ໃບເກັບເງິນ
Invoice Amount,
Invoice Currency,
Invoice details,
Invoice name is required for update,
Invoice {0} Deleted,
Invoice {0} does not exist,
Invoice {0} not found,
Item,ລາຍການ
Item Code,ລະຫັດສິນຄ້າ
Item Code and Price List are required,
Item Code is required,
Item Discounts,
Item Group,ກຸ່ມສິນຄ້າ
Item Price,ລາຍການລາຄາ
Item Price has been added or updated,
Item Rate Should Less Then,
Item code digits,
Item code is required.,
Item code starting position,
Item {0} was not in the original invoice {1},
"Item {0}: Cannot return {1} units. Only {2} units remaining for return (Original: {3}, Already returned: {4})",
"Item {0}: Cannot return {1}, maximum returnable is {2}",
Item {0}: Discount {1}% exceeds maximum allowed {2}%,
Item {0}: Quantity must be greater than zero,
Item {0}: Rate cannot be negative,
Items,ລາຍການ
Journal Entry,ວາລະສານການອອກສຽງ
Journal Entry {0} has no unallocated amount remaining.,
Label,Label
Label Size,
Large (60×40mm),
Linked Invoices,ບັນຊີເງິນຝາກທີ່ກ່ຽວຂ້ອງ
Loading in-transit stock...,
Loading pending orders...,
Loading suppliers...,
Loyalty,
Loyalty Information,
Loyalty Point,
Loyalty Point Scheme,
Loyalty Points,ຈຸດປະສົງຄວາມພັກດີ
Loyalty Points Redeemed,
Loyalty Program,ໂຄງການຄວາມພັກດີ
Loyalty Program is required,
Loyalty Program {0} not found,
Manage loyalty for,
Material transfers awaiting receipt at your warehouse,
Max Amount,Maximum Amount
Max Quantity,
Maximum Use,ການ ນຳ ໃຊ້ສູງສຸດ
Medium (50×30mm),
Method,ວິທີການ
Min Amount,ຈຳ ນວນເງິນ ໜ້ອຍ
Min Quantity,
Missing Dependency,
Mobile,ໂທລະສັບມືຖື
Mobile NO,
Mode Of Payment,ຮູບແບບການຊໍາລະເງິນ
Mode of Payment,ວິທີການຊໍາລະເງິນ
Mode of Payments,Mode of Payments
Modes of Payment,Modes of Payment
Movement Type,
Movement Type must be Expense or Deposit.,
Net Total,Total net
No allocation made for credit note {0},
No allocation made for payment {0},
No allocation was recorded for Credit Note {0}.,
No allocation was recorded for Journal Entry {0}.,
No allocation was recorded for Payment Entry {0}.,
No allocations were made.,
No batches available in {0} for {1}.,
No draft invoices found,
No groups found,
No in-transit stock,
No items found,
No items in cart to save.,
No items selected,
No items to invoice. Please ensure there are items on the Purchase Order.,
No items to receive.,
No items to receive. Please enter received quantities.,
No items to return.,
No loyalty programs available,
No matches found,
No material transfers pending receipt,
No open shift found. Please open a shift first.,
No orders found,
No outstanding invoices available for allocation of credit note {0},
No outstanding invoices available for allocation of payment {0},
No outstanding invoices were available to reconcile Credit Note {0}.,
No outstanding invoices were available to reconcile Journal Entry {0}.,
No outstanding invoices were available to reconcile Payment Entry {0}.,
No outstanding invoices were found for {0}.,
No pending stock,
"No query filters. Click \""Add Filter\"" to add one.",
No suppliers found,
No unallocated payments were available for reconciliation.,
No valid batches available in {0} for {1}.,
No valid items to receive.,
No valid items to return.,
Not Enrolled,
Number of decimal places encoded for the price.,
Number of digits representing the price before decimal places.,
Numpad,
Offer,
Offer Applied,
Offer Name,
Offers &amp; Coupons,
Offline,ອອຟໄລ
Only One Use Per Customer,
Only cancelled POS Cash Movement records can be deleted.,
Only cancelled cash movements can be deleted.,
Only draft Quotations can be updated,
Only draft Sales Orders can be updated,
Only draft invoices can be deleted,
Only draft invoices can be updated,
Only draft invoices can be updated and submitted,
Only submitted cash movements can be cancelled.,
Only submitted or cancelled cash movements can be duplicated.,
Only the shift owner can create cash movement entries.,
Open,ເປີດ
Opening,ເປີດ
Opening Amount,ຈຳ ນວນເງິນເປີດ
Opening Balance Details,ເປີດລາຍລະອຽດຍອດເງິນ
Order History,
Order only,
Order saved as draft,
Orders,ຄໍາສັ່ງ
Original invoice {0} not found,
Out of Stock,ອອກຈາກຫຸ້ນ
Outgoing Stock Entry is required.,
POS,POS
POS Allowed Expense Account,
XPOS Allowed Source Account,
POS Cash Movement,
XPOS Closing Shift,
XPOS Closing Shift Detail,
XPOS Closing Shift Taxes,
XPOS Closing Shift {} against {} between selected period,
POS Coupon,
POS Coupon Detail,
POS Expense,
POS Expense is disabled for this POS Profile.,
POS Invoice,ໃບເກັບເງິນ POS
POS Offer,
POS Offer Detail,
POS Offer is disabled.,
POS Opening Shift,
XPOS Opening Shift Detail,
POS Opening Shift is required,
POS Opening Shift is required to compute the overview.,
POS Opening Shift is required.,
POS Opening Shift must be submitted and open.,
POS Opening Shift not found.,
POS Opening Shift {0} is not for the same POS Profile,
POS Opening Shift {0} is not for the same company,
POS Payment Entry Reference,
POS Payments,
POS Print Format Rule,
POS Profile,ຂໍ້ມູນ POS
POS Profile company must match active POS Opening Shift company.,
POS Profile is not set. Please close and reopen the shift.,
POS Profile is required,
POS Profile is required to create purchase documents.,
POS Profile is required.,
POS Profile must match the active POS Opening Shift profile.,
POS Profile must match the selected POS Opening Shift profile.,
POS Profile {} does not belongs to company {},ໂປແກຼມ POS {} ບໍ່ຂຶ້ນກັບບໍລິສັດ {}
"POS Profile, Customer, and Items are required",
POS Profiles,
POS Sales Person Filter,
POS Shift {0} is not open,
POS Transactions,POS Transaction
POS credit redemption for Sales Invoice {0},
POS expense recorded,
POS profile data is missing or invalid.,
Password,ລະຫັດຜ່ານ
Pay {0},
Payment,ການຊໍາລະເງິນ
Payment Entry,Entry ການຊໍາລະເງິນ
Payment Entry is already created or payment account is not matched,
Payment Entry {0} has no unallocated amount remaining.,
Payment Gateway Account not found,
Payment Reconciliation,ສ້າງຄວາມປອງດອງການຊໍາລະເງິນ
Payment Request for {0},ການຮ້ອງຂໍການຊໍາລະເງິນສໍາລັບ {0}
