"1-indexed start position of item code in the full barcode. Example: for item code 3310100 in 3310100010009, start is 1.",
"1-indexed start position of weight segment. Example: in 3310100010009, weight starts at position 8.",
"<span class=\""h4\"">X POS</span>",
Accept Qty,
Account,അക്കൗണ്ട്
Account Head,അക്കൗണ്ട് ഹെഡ്
Accounts Manager,അക്കൗണ്ടുകൾ മാനേജർ
Accounts User,ഉപയോക്തൃ അക്കൗണ്ടുകൾ
Add Filter,ഫിൽറ്റർ ചേർക്കുക
Add New Supplier,
Add a new supplier to the system,
Add items to pay,
Add to Cart,കാർട്ടിലേക്ക് ചേർക്കുക
Add/Edit Coupon Conditions,കൂപ്പൺ നിബന്ധനകൾ ചേർക്കുക / എഡിറ്റുചെയ്യുക
Additional Discount,അധിക ഡിസ്ക്കൌണ്ട്
Administrator,അഡ്മിനിസ്ട്രേറ്റർ
Against Name,
All,എല്ലാം
All Groups,
All orders have been received,
Allocated {0} across {1} payment(s).,
Allocation amount for payment {0} exceeds outstanding invoices,
Amended From,നിന്ന് ഭേദഗതി
Amount,തുക
Amount Due,
Amount exceeds POS Profile cash movement max amount.,
Amount must be greater than zero,
Amount must be greater than zero.,
Applied,അപ്ലൈഡ്
Apply,അപേക്ഷിക്കുക
Apply For,
Apply For POS Profiles,
Apply On,പുരട്ടുക
Apply Rule On Brand,ബ്രാൻഡിൽ റൂൾ പ്രയോഗിക്കുക
Apply Rule On Item Code,ഇനം കോഡിൽ റൂൾ പ്രയോഗിക്കുക
Apply Rule On Item Group,ഇനം ഗ്രൂപ്പിൽ റൂൾ പ്രയോഗിക്കുക
Apply Type,
Are you sure you want to delete this draft?,
At least one item is required,
Auto Apply,
Auto-receive,
Available Programs,
Back Office Cash Account is fixed by POS Profile and cannot be overridden.,
Back Office Cash Account is required for cash deposit.,
Back Office Cash Account must be a Cash account.,
Back to Sign In,
Barcode,ബാർകോഡ്
Barcode Printer,
Barcode Structure,
Barcode Type,ബാർകോഡ് തരം
Barcode lookup failed,
Barcode {0} already exists.,
Barcodes,ബാർകോഡുകൾ
Brand,ബ്രാൻഡ്
Campaign,കാമ്പെയ്ൻ
Cancel,റദ്ദാക്കുക
Cancelled,റദ്ദാക്കി
Cancelling submitted cash movements is disabled for this POS Profile.,
Cannot add item to cart,
Cart,കാർട്ട്
Cart is empty,
Cash Deposit,
Cash Deposit is disabled for this POS Profile.,
Cash Movement,
Cash Movement is disabled for this POS Profile.,
Cash deposit recorded,
Cash flow tracking,
Cash movement is already cancelled,
Cash movement {0} not found,
Cashier,കാഷ്യയർ
Change,മാറ്റുക
Change Given,
Check your email for reset instructions,
Clear All,
Clear cart,
Click on items to add them here,
Click to change customer,
Click to select customer,
Client Request ID,
Close,അടയ്ക്കുക
Close Shift,
Closed,അടച്ചു
Closing,
Closing Amount,അടയ്ക്കുന്ന തുക
Closing...,
Company,കമ്പനി
Company is required,
Company is required.,
Company must match the selected POS Opening Shift company.,
Company must match the selected POS Profile company.,
Contact administrator to set up loyalty programs,
Context is required,
Cost Center,ചെലവ് കേന്ദ്രം
Cost Center is not set in pos profile {0},
Coupon,
Coupon Based,
Coupon Code,കൂപ്പൺ കോഡ്
Coupon Code Based,കൂപ്പൺ കോഡ് അടിസ്ഥാനമാക്കിയുള്ളത്
Coupon Description,കൂപ്പൺ വിവരണം
Coupon Name,കൂപ്പൺ നാമം
Coupon Type,കൂപ്പൺ തരം
Coupon has expired,
Coupon is not valid for this customer,
Coupon is not yet valid,
Create New Supplier,
Create Supplier,
Create items,
Create suppliers,
Created By,ഉണ്ടാക്കിയത്
Creating...,
Credit Note,ക്രെഡിറ്റ് കുറിപ്പ്
Credit Note {0} has no remaining balance to allocate.,
Credit note {0} is already fully allocated,
Credit note {0} still has an unapplied balance of {1},
Currency,കറൻസി
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}",
Currency is required,
Customer,കസ്റ്റമർ
Customer Group,കസ്റ്റമർ ഗ്രൂപ്പ്
Customer Name,ഉപഭോക്താവിന്റെ പേര്
Customer already exists,
Customer is already enrolled in {0},
Customer is already enrolled in {0}. Please unenroll from the current program first.,
Customer is not enrolled in any loyalty program,
Customer is required,കസ്റ്റമർ ആവശ്യമാണ്
Customer is required to create an address,
Customer locked for return,
Customer mismatch: Return must be for the same customer ({0}) as the original invoice,
Customer name is required,
Customer {0} not found,
"Customer, Company, Amount, and Mode of Payment are required",
Date,തീയതി
Date & Time,
Default Loyalty Program,
Default Rate,
Default Rate is required,
Delete draft,
Deleting cancelled cash movements is disabled for this POS Profile.,
Delivery Charges,
Delivery Charges POS Profile,
Deposit,
Deposit To,
Description,വിവരണം
Details,വിശദാംശങ്ങൾ
Difference,വ്യത്യാസം
Digits after decimal. Example: 1.000 => decimals 3.,
"Digits before decimal. Example: for 1.000, use 1 (or 2 if your scale encodes 01.000).",
Disable,അപ്രാപ്തമാക്കുക
Disabled,രഹിതമായ
Discount,ഡിസ്കൗണ്ട്
Discount %,
Discount Amount,കിഴിവും തുക
Discount Percentage,കിഴിവും ശതമാനം
Discount Type,കിഴിവ് തരം
Discount amount,
Draft,ഡ്രാഫ്റ്റ്
Draft invoice deleted,
Draft invoice restored to cart,
Email,ഇമെയിൽ
Email Address,ഈ - മെയില് വിലാസം
Email ID,ഇ - മെയിൽ ഐഡി
Email Sent Successfully,
Email address,ഈ - മെയില് വിലാസം
Email or Username,
Enable only if barcode also contains price segment.,
"Enable when your barcode starts with a fixed prefix value (for example, 331).",
Enroll Customer,
Enrolled,എൻറോൾ ചെയ്‌തു
Enrolling...,എൻറോൾ ചെയ്യുന്നു ...
Enter coupon code...,
Enter reason for this transaction...,
Enter supplier name,
Enter the email address associated with your account,
Enter your email address,
Enter your email or username,
Enter your email to receive a password reset link,
Enter your password,നിങ്ങളുടെ പാസ്വേഡ് നൽകുക
Expected,
Expected Amount,പ്രതീക്ഷിക്കുന്ന തുക
Expense,ചിലവേറിയ
Expense Account,ചിലവേറിയ
Expense Account is required for expense entries.,
Expense account is required,
Expense account is required for POS Expense.,
Expense target account must match Expense Account.,
Expires,
Failed to create payment request: {0},
Failed to delete draft invoice,
Failed to fetch draft invoices,
Failed to load draft invoice,
Failed to reconcile Credit Note {0}: {1},
Failed to reconcile Journal Entry {0}: {1},
Failed to reconcile Payment Entry {0}: {1},
Failed to record cash movement,
Failed to save draft: {0},
Failed to validate coupon,
Final Customer Offer,
"Fixed starting value of all scale barcodes (for example, 331). If set, barcodes not starting with this value are ignored.",
Forgot password?,
Generate and print barcode labels for items,
Generating...,
Gift Card,ഗിഫ്റ്റ് കാർഡ്
Give Item,
Give Item Row ID,
Give Product,
Given Quantity,
Grand Total,ആകെ തുക
In Transit,യാത്രയിൽ
In-Transit,
In-Transit Stock,
Include QR Code,
Individual,വ്യക്തിഗത
Invalid Opening Entry,ഓപ്പണിംഗ് എൻട്രി അസാധുവാണ്
Invalid POS Opening Shift data provided.,
Invalid Period,അസാധുവായ കാലയളവ്
Invalid language code,
Invalid language code format: {0},
Invalid movement type for journal entry.,
Invalid movement type.,
Invalid or already used coupon code,
Invalid or expired coupon code,
Invalid payload for cash movement.,
Invalid posting date.,
Invalid {0} filter,
Invoice,വികയപതം
Invoice Amount,
Invoice Currency,
Invoice details,
Invoice name is required for update,
Invoice {0} Deleted,
Invoice {0} does not exist,
Invoice {0} not found,
Item,ഇനം
Item Code,ഇനം കോഡ്
Item Code and Price List are required,
Item Code is required,
Item Discounts,
Item Group,ഇനം ഗ്രൂപ്പ്
Item Price,ഇനം വില
Item Price has been added or updated,
Item Rate Should Less Then,
Item code digits,
Item code is required.,
Item code starting position,
Item {0} was not in the original invoice {1},
"Item {0}: Cannot return {1} units. Only {2} units remaining for return (Original: {3}, Already returned: {4})",
"Item {0}: Cannot return {1}, maximum returnable is {2}",
Item {0}: Discount {1}% exceeds maximum allowed {2}%,
Item {0}: Quantity must be greater than zero,
Item {0}: Rate cannot be negative,
Items,ഇനങ്ങൾ
Journal Entry,ജേർണൽ എൻട്രി
Journal Entry {0} has no unallocated amount remaining.,
Label,ലേബൽ
Label Size,
Large (60×40mm),
Linked Invoices,ലിങ്ക് ചെയ്ത ഇൻവോയ്സുകൾ
Loading in-transit stock...,
Loading pending orders...,
Loading suppliers...,
Loyalty,
Loyalty Information,
Loyalty Point,
Loyalty Point Scheme,
Loyalty Points,ലോയൽറ്റി പോയിന്റുകൾ
Loyalty Points Redeemed,
Loyalty Program,ലോയൽറ്റി പ്രോഗ്രാം
Loyalty Program is required,
Loyalty Program {0} not found,
Manage loyalty for,
Material transfers awaiting receipt at your warehouse,
Max Amount,പരമാവധി തുക
Max Quantity,
Maximum Use,പരമാവധി ഉപയോഗം
Medium (50×30mm),
Method,രീതിയുടെ
Min Amount,കുറഞ്ഞ തുക
Min Quantity,
Missing Dependency,
Mobile,മൊബൈൽ
Mobile NO,
Mode Of Payment,അടക്കേണ്ട മോഡ്
Mode of Payment,പേയ്മെന്റ് മോഡ്
Mode of Payments,പേയ്മെന്റ് മോഡ്
Modes of Payment,പണമടയ്ക്കൽ മോഡുകൾ
Movement Type,
Movement Type must be Expense or Deposit.,
Net Total,നെറ്റ് ആകെ
No allocation made for credit note {0},
No allocation made for payment {0},
No allocation was recorded for Credit Note {0}.,
No allocation was recorded for Journal Entry {0}.,
No allocation was recorded for Payment Entry {0}.,
No allocations were made.,
No batches available in {0} for {1}.,
No draft invoices found,
No groups found,
No in-transit stock,
No items found,
No items in cart to save.,
No items selected,
No items to invoice. Please ensure there are items on the Purchase Order.,
No items to receive.,
No items to receive. Please enter received quantities.,
No items to return.,
No loyalty programs available,
No matches found,
No material transfers pending receipt,
No open shift found. Please open a shift first.,
No orders found,
No outstanding invoices available for allocation of credit note {0},
No outstanding invoices available for allocation of payment {0},
No outstanding invoices were available to reconcile Credit Note {0}.,
No outstanding invoices were available to reconcile Journal Entry {0}.,
No outstanding invoices were available to reconcile Payment Entry {0}.,
No outstanding invoices were found for {0}.,
No pending stock,
"No query filters. Click \""Add Filter\"" to add one.",
No suppliers found,
No unallocated payments were available for reconciliation.,
No valid batches available in {0} for {1}.,
No valid items to receive.,
No valid items to return.,
Not Enrolled,
Number of decimal places encoded for the price.,
Number of digits representing the price before decimal places.,
Numpad,
Offer,
Offer Applied,
Offer Name,
Offers &amp; Coupons,
Offline,ഓഫ്ലൈൻ
Only One Use Per Customer,
Only cancelled POS Cash Movement records can be deleted.,
Only cancelled cash movements can be deleted.,
Only draft Quotations can be updated,
Only draft Sales Orders can be updated,
Only draft invoices can be deleted,
Only draft invoices can be updated,
Only draft invoices can be updated and submitted,
Only submitted cash movements can be cancelled.,
Only submitted or cancelled cash movements can be duplicated.,
Only the shift owner can create cash movement entries.,
Open,തുറക്കുക
Opening,തുറക്കുന്നു
Opening Amount,തുറക്കുന്ന തുക
Opening Balance Details,ബാലൻസ് വിശദാംശങ്ങൾ തുറക്കുന്നു
Order History,
Order only,
Order saved as draft,
Orders,ഉത്തരവുകൾ
Original invoice {0} not found,
Out of Stock,ശേഖരം തീർന്നു പോയി
Outgoing Stock Entry is required.,
POS,POS
POS Allowed Expense Account,
XPOS Allowed Source Account,
POS Cash Movement,
XPOS Closing Shift,
XPOS Closing Shift Detail,
XPOS Closing Shift Taxes,
XPOS Closing Shift {} against {} between selected period,
POS Coupon,
POS Coupon Detail,
POS Expense,
POS Expense is disabled for this POS Profile.,
POS Invoice,POS ഇൻവോയ്സ്
POS Offer,
POS Offer Detail,
POS Offer is disabled.,
POS Opening Shift,
XPOS Opening Shift Detail,
POS Opening Shift is required,
POS Opening Shift is required to compute the overview.,
POS Opening Shift is required.,
POS Opening Shift must be submitted and open.,
POS Opening Shift not found.,
POS Opening Shift {0} is not for the same POS Profile,
POS Opening Shift {0} is not for the same company,
POS Payment Entry Reference,
POS Payments,
POS Print Format Rule,
POS Profile,POS പ്രൊഫൈൽ
POS Profile company must match active POS Opening Shift company.,
POS Profile is not set. Please close and reopen the shift.,
POS Profile is required,
POS Profile is required to create purchase documents.,
POS Profile is required.,
POS Profile must match the active POS Opening Shift profile.,
POS Profile must match the selected POS Opening Shift profile.,
POS Profile {} does not belongs to company {},POS പ്രൊഫൈൽ {company കമ്പനിയുടേതല്ല {}
"POS Profile, Customer, and Items are required",
POS Profiles,
POS Sales Person Filter,
POS Shift {0} is not open,
POS Transactions,POS ഇടപാടുകൾ
POS credit redemption for Sales Invoice {0},
POS expense recorded,
POS profile data is missing or invalid.,
Password,പാസ്വേഡ്
Pay {0},
Payment,പേയ്മെന്റ്
Payment Entry,പേയ്മെന്റ് എൻട്രി
Payment Entry is already created or payment account is not matched,
Payment Entry {0} has no unallocated amount remaining.,
Payment Gateway Account not found,
Payment Reconciliation,പേയ്മെന്റ് അനുരഞ്ജനം
