"1-indexed start position of item code in the full barcode. Example: for item code 3310100 in 3310100010009, start is 1.",
"1-indexed start position of weight segment. Example: in 3310100010009, weight starts at position 8.",
"<span class=\""h4\"">X POS</span>",
Accept Qty,
Account,खाते
Account Head,खाते प्रमुख
Accounts Manager,खाते व्यवस्थापक
Accounts User,वापरकर्ता खाती
Add Filter,फिल्टर जोडा
Add New Supplier,
Add a new supplier to the system,
Add items to pay,
Add to Cart,सूचीत टाका
Add/Edit Coupon Conditions,कूपन अटी जोडा / संपादित करा
Additional Discount,अतिरिक्त सवलत
Administrator,प्रशासक
Against Name,
All,सर्व
All Groups,
All orders have been received,
Allocated {0} across {1} payment(s).,
Allocation amount for payment {0} exceeds outstanding invoices,
Amended From,पासून दुरुस्ती
Amount,रक्कम
Amount Due,
Amount exceeds POS Profile cash movement max amount.,
Amount must be greater than zero,
Amount must be greater than zero.,
Applied,लागू
Apply,लागू करा
Apply For,
Apply For POS Profiles,
Apply On,रोजी लागू करा
Apply Rule On Brand,ब्रँड ऑन नियम लागू करा
Apply Rule On Item Code,आयटम कोडवर नियम लागू करा
Apply Rule On Item Group,आयटम ग्रुपवर नियम लागू करा
Apply Type,
Are you sure you want to delete this draft?,
At least one item is required,
Auto Apply,
Auto-receive,
Available Programs,
Back Office Cash Account is fixed by POS Profile and cannot be overridden.,
Back Office Cash Account is required for cash deposit.,
Back Office Cash Account must be a Cash account.,
Back to Sign In,
Barcode,बारकोड
Barcode Printer,
Barcode Structure,
Barcode Type,बारकोड प्रकार
Barcode lookup failed,
Barcode {0} already exists.,
Barcodes,बारकोड्स
Brand,ब्रँड
Campaign,मोहीम
Cancel,रद्द करा
Cancelled,रद्द केले
Cancelling submitted cash movements is disabled for this POS Profile.,
Cannot add item to cart,
Cart,कार्ट
Cart is empty,
Cash Deposit,
Cash Deposit is disabled for this POS Profile.,
Cash Movement,
Cash Movement is disabled for this POS Profile.,
Cash deposit recorded,
Cash flow tracking,
Cash movement is already cancelled,
Cash movement {0} not found,
Cashier,रोखपाल
Change,बदला
Change Given,
Check your email for reset instructions,
Clear All,
Clear cart,
Click on items to add them here,
Click to change customer,
Click to select customer,
Client Request ID,
Close,बंद करा
Close Shift,
Closed,बंद
Closing,
Closing Amount,बंद रक्कम
Closing...,
Company,कंपनी
Company is required,
Company is required.,
Company must match the selected POS Opening Shift company.,
Company must match the selected POS Profile company.,
Contact administrator to set up loyalty programs,
Context is required,
Cost Center,खर्च केंद्र
Cost Center is not set in pos profile {0},
Coupon,
Coupon Based,
Coupon Code,कूपन कोड
Coupon Code Based,कूपन कोड आधारित
Coupon Description,कूपन वर्णन
Coupon Name,कूपन नाव
Coupon Type,कूपन प्रकार
Coupon has expired,
Coupon is not valid for this customer,
Coupon is not yet valid,
Create New Supplier,
Create Supplier,
Create items,
Create suppliers,
Created By,करून तयार
Creating...,
Credit Note,क्रेडिट टीप
Credit Note {0} has no remaining balance to allocate.,
Credit note {0} is already fully allocated,
Credit note {0} still has an unapplied balance of {1},
Currency,चलन
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}",
Currency is required,
Customer,ग्राहक
Customer Group,ग्राहक गट
Customer Name,ग्राहक नाव
Customer already exists,
Customer is already enrolled in {0},
Customer is already enrolled in {0}. Please unenroll from the current program first.,
Customer is not enrolled in any loyalty program,
Customer is required,ग्राहक आवश्यक आहे
Customer is required to create an address,
Customer locked for return,
Customer mismatch: Return must be for the same customer ({0}) as the original invoice,
Customer name is required,
Customer {0} not found,
"Customer, Company, Amount, and Mode of Payment are required",
Date,तारीख
Date & Time,
Default Loyalty Program,
Default Rate,
Default Rate is required,
Delete draft,
Deleting cancelled cash movements is disabled for this POS Profile.,
Delivery Charges,
Delivery Charges POS Profile,
Deposit,
Deposit To,
Description,वर्णन
Details,तपशील
Difference,फरक
Digits after decimal. Example: 1.000 => decimals 3.,
"Digits before decimal. Example: for 1.000, use 1 (or 2 if your scale encodes 01.000).",
Disable,अक्षम करा
Disabled,अपंग
Discount,सवलत
Discount %,
Discount Amount,सवलत रक्कम
Discount Percentage,सवलत टक्केवारी
Discount Type,सवलतीच्या प्रकार
Discount amount,
Draft,मसुदा
Draft invoice deleted,
Draft invoice restored to cart,
Email,ई-मेल
Email Address,ईमेल पत्ता
Email ID,ई - मेल आयडी
Email Sent Successfully,
Email address,ई-मेल पत्ता
Email or Username,
Enable only if barcode also contains price segment.,
"Enable when your barcode starts with a fixed prefix value (for example, 331).",
Enroll Customer,
Enrolled,नोंदणी केली
Enrolling...,नोंदणी करीत आहे ...
Enter coupon code...,
Enter reason for this transaction...,
Enter supplier name,
Enter the email address associated with your account,
Enter your email address,
Enter your email or username,
Enter your email to receive a password reset link,
Enter your password,आपला संकेतशब्द प्रविष्ट करा
Expected,
Expected Amount,अपेक्षित रक्कम
Expense,खर्च
Expense Account,खर्च खाते
Expense Account is required for expense entries.,
Expense account is required,
Expense account is required for POS Expense.,
Expense target account must match Expense Account.,
Expires,
Failed to create payment request: {0},
Failed to delete draft invoice,
Failed to fetch draft invoices,
Failed to load draft invoice,
Failed to reconcile Credit Note {0}: {1},
Failed to reconcile Journal Entry {0}: {1},
Failed to reconcile Payment Entry {0}: {1},
Failed to record cash movement,
Failed to save draft: {0},
Failed to validate coupon,
Final Customer Offer,
"Fixed starting value of all scale barcodes (for example, 331). If set, barcodes not starting with this value are ignored.",
Forgot password?,
Generate and print barcode labels for items,
Generating...,
Gift Card,गिफ्ट कार्ड
Give Item,
Give Item Row ID,
Give Product,
Given Quantity,
Grand Total,एकूण
In Transit,पारगमन मध्ये
In-Transit,
In-Transit Stock,
Include QR Code,
Individual,वैयक्तिक
Invalid Opening Entry,अवैध उघडण्याची नोंद
Invalid POS Opening Shift data provided.,
Invalid Period,अवैध कालावधी
Invalid language code,
Invalid language code format: {0},
Invalid movement type for journal entry.,
Invalid movement type.,
Invalid or already used coupon code,
Invalid or expired coupon code,
Invalid payload for cash movement.,
Invalid posting date.,
Invalid {0} filter,
Invoice,चलन
Invoice Amount,
Invoice Currency,
Invoice details,
Invoice name is required for update,
Invoice {0} Deleted,
Invoice {0} does not exist,
Invoice {0} not found,
Item,आयटम
Item Code,आयटम कोड
Item Code and Price List are required,
Item Code is required,
Item Discounts,
Item Group,आयटम गट
Item Price,आयटम किंमत
Item Price has been added or updated,
Item Rate Should Less Then,
Item code digits,
Item code is required.,
Item code starting position,
Item {0} was not in the original invoice {1},
"Item {0}: Cannot return {1} units. Only {2} units remaining for return (Original: {3}, Already returned: {4})",
"Item {0}: Cannot return {1}, maximum returnable is {2}",
Item {0}: Discount {1}% exceeds maximum allowed {2}%,
Item {0}: Quantity must be greater than zero,
Item {0}: Rate cannot be negative,
Items,आयटम
Journal Entry,जर्नल प्रवेश
Journal Entry {0} has no unallocated amount remaining.,
Label,लेबल
Label Size,
Large (60×40mm),
Linked Invoices,लिंक्ड इनव्हॉइसेस
Loading in-transit stock...,
Loading pending orders...,
Loading suppliers...,
Loyalty,
Loyalty Information,
Loyalty Point,
Loyalty Point Scheme,
Loyalty Points,लॉयल्टी पॉइंट्स
Loyalty Points Redeemed,
Loyalty Program,निष्ठा कार्यक्रम
Loyalty Program is required,
Loyalty Program {0} not found,
Manage loyalty for,
Material transfers awaiting receipt at your warehouse,
Max Amount,कमाल रक्कम
Max Quantity,
Maximum Use,जास्तीत जास्त वापर
Medium (50×30mm),
Method,पद्धत
Min Amount,किमान रक्कम
Min Quantity,
Missing Dependency,
Mobile,मोबाईल
Mobile NO,
Mode Of Payment,मोड ऑफ पेमेंट्स
Mode of Payment,देय मोड
Mode of Payments,देण्याची पध्दत
Modes of Payment,देयक मोड
Movement Type,
Movement Type must be Expense or Deposit.,
Net Total,निव्वळ एकूण
No allocation made for credit note {0},
No allocation made for payment {0},
No allocation was recorded for Credit Note {0}.,
No allocation was recorded for Journal Entry {0}.,
No allocation was recorded for Payment Entry {0}.,
No allocations were made.,
No batches available in {0} for {1}.,
No draft invoices found,
No groups found,
No in-transit stock,
No items found,
No items in cart to save.,
No items selected,
No items to invoice. Please ensure there are items on the Purchase Order.,
No items to receive.,
No items to receive. Please enter received quantities.,
No items to return.,
No loyalty programs available,
No matches found,
No material transfers pending receipt,
No open shift found. Please open a shift first.,
No orders found,
No outstanding invoices available for allocation of credit note {0},
No outstanding invoices available for allocation of payment {0},
No outstanding invoices were available to reconcile Credit Note {0}.,
No outstanding invoices were available to reconcile Journal Entry {0}.,
No outstanding invoices were available to reconcile Payment Entry {0}.,
No outstanding invoices were found for {0}.,
No pending stock,
"No query filters. Click \""Add Filter\"" to add one.",
No suppliers found,
No unallocated payments were available for reconciliation.,
No valid batches available in {0} for {1}.,
No valid items to receive.,
No valid items to return.,
Not Enrolled,
Number of decimal places encoded for the price.,
Number of digits representing the price before decimal places.,
Numpad,
Offer,
Offer Applied,
Offer Name,
Offers &amp; Coupons,
Offline,ऑफलाइन
Only One Use Per Customer,
Only cancelled POS Cash Movement records can be deleted.,
Only cancelled cash movements can be deleted.,
Only draft Quotations can be updated,
Only draft Sales Orders can be updated,
Only draft invoices can be deleted,
Only draft invoices can be updated,
Only draft invoices can be updated and submitted,
Only submitted cash movements can be cancelled.,
Only submitted or cancelled cash movements can be duplicated.,
Only the shift owner can create cash movement entries.,
Open,ओपन
Opening,उघडणे
Opening Amount,उघडण्याची रक्कम
Opening Balance Details,शिल्लक तपशील उघडत आहे
Order History,
Order only,
Order saved as draft,
Orders,आदेश
Original invoice {0} not found,
Out of Stock,स्टॉक बाहेर
Outgoing Stock Entry is required.,
POS,पीओएस
POS Allowed Expense Account,
XPOS Allowed Source Account,
POS Cash Movement,
XPOS Closing Shift,
XPOS Closing Shift Detail,
XPOS Closing Shift Taxes,
XPOS Closing Shift {} against {} between selected period,
POS Coupon,
POS Coupon Detail,
POS Expense,
POS Expense is disabled for this POS Profile.,
POS Invoice,पॉस बीजक
POS Offer,
POS Offer Detail,
POS Offer is disabled.,
POS Opening Shift,
XPOS Opening Shift Detail,
POS Opening Shift is required,
POS Opening Shift is required to compute the overview.,
POS Opening Shift is required.,
POS Opening Shift must be submitted and open.,
POS Opening Shift not found.,
POS Opening Shift {0} is not for the same POS Profile,
POS Opening Shift {0} is not for the same company,
POS Payment Entry Reference,
POS Payments,
POS Print Format Rule,
POS Profile,पीओएस प्रोफाइल
POS Profile company must match active POS Opening Shift company.,
POS Profile is not set. Please close and reopen the shift.,
POS Profile is required,
POS Profile is required to create purchase documents.,
POS Profile is required.,
POS Profile must match the active POS Opening Shift profile.,
POS Profile must match the selected POS Opening Shift profile.,
POS Profile {} does not belongs to company {},पॉस प्रोफाइल {company कंपनीचे नाही}}
"POS Profile, Customer, and Items are required",
POS Profiles,
POS Sales Person Filter,
POS Shift {0} is not open,
POS Transactions,पीओएस व्यवहार
POS credit redemption for Sales Invoice {0},
POS expense recorded,
POS profile data is missing or invalid.,
Password,पासवर्ड
Pay {0},
Payment,भरणा
Payment Entry,भरणा प्रवेश
Payment Entry is already created or payment account is not matched,
Payment Entry {0} has no unallocated amount remaining.,
Payment Gateway Account not found,
Payment Reconciliation,भरणा मेळ
Payment Request for {0},{0} साठी पेमेंट विनंती
Payment amount cannot be less than or equal to 0,देय रक्कम 0 पेक्षा कमी किंवा समान असू शकत नाही
Payment amount must be greater than zero,
Payment {0} is already fully allocated,
Payments,देयके
Pending,प्रलंबित
Period End Date,कालावधी समाप्ती तारीख
Period Start Date,कालावधी प्रारंभ तारीख
Phone number,
Please enter the phone number first,कृपया प्रथम फोन नंबर प्रविष्ट करा
Please select Coupon Code Based POS Offer.,
Please select a customer before adding items to the cart,
Please select a customer before holding the order.,
Please select the correct POS Offer with the same company.,
Please select the customer.,कृपया ग्राहक निवडा.
Please set Default Payable Account in Company {0},
Please set default account for Mode of Payment {0} in company {1},
Point of Sale System,
Points Earned,
Points Redeemed,
Points Value,
"Positions are 1-indexed and counted on the full barcode. Example: 3310100010009 => prefix 331, item code 3310100, weight 1.000, check digit 9.",
Posting Date,पोस्टिंग तारीख
Prefix,पूर्वपद
Prefix included in barcode,
Prefix length,
"Prefix length (for example, prefix 331 => length 3). Item/weight start positions still use full barcode positions.",
Price,किंमत
Price Discount Scheme ,
Price List is required,
Price decimals,
Price digits,
Price included in barcode,
Price starting position,
Primary Customer Offer,
Print,प्रिंट
Print Format,मुद्रण स्वरूप
Print Labels,
Print Last Invoice,
Process Return,
Process Return {0},
Processing...,प्रक्रिया करीत आहे ...
Product Discount Scheme,उत्पादन सवलत योजना
Profile,
Profiles List,
Program,कार्यक्रम
Promo Type,
Promotional,पदोन्नती
Promotional Schemes,
Purchase,खरेदी
Purchase Order is required.,
Purchase Order {0} does not exist.,
Purchase Order {0} is not submitted.,
Purchase Order {0} processing failed: {1},
Purchase Orders,खरेदी ऑर्डर
