"1-indexed start position of item code in the full barcode. Example: for item code 3310100 in 3310100010009, start is 1.",
"1-indexed start position of weight segment. Example: in 3310100010009, weight starts at position 8.",
"<span class=\""h4\"">X POS</span>",
Accept Qty,
Account,အကောင့်ဖွင့်
Account Head,အကောင့်ဖွင့်ဦးခေါင်း
Accounts Manager,အကောင့်အသစ်များ၏ Manager က
Accounts User,အသုံးပြုသူအကောင့်
Add Filter,Filter ကို Add
Add New Supplier,
Add a new supplier to the system,
Add items to pay,
Add to Cart,စျေးဝယ်ခြင်းထဲသို့ထည့်သည်
Add/Edit Coupon Conditions,ကူပွန်အခြေအနေများထည့်ပေါင်း / တည်းဖြတ်ပါ
Additional Discount,အပိုဆောင်းလျှော့
Administrator,အုပ်ချုပ်သူ
Against Name,
All,အားလုံး
All Groups,
All orders have been received,
Allocated {0} across {1} payment(s).,
Allocation amount for payment {0} exceeds outstanding invoices,
Amended From,မှစ. ပြင်ဆင်
Amount,ငွေပမာဏ
Amount Due,
Amount exceeds POS Profile cash movement max amount.,
Amount must be greater than zero,
Amount must be greater than zero.,
Applied,အသုံးချ
Apply,Apply
Apply For,
Apply For POS Profiles,
Apply On,တွင် Apply
Apply Rule On Brand,ကုန်အမှတ်တံဆိပ်တွင်စည်းမျဉ်း Apply
Apply Rule On Item Code,Item Code ကိုတွင်စည်းမျဉ်း Apply
Apply Rule On Item Group,Item Group မှတွင်စည်းမျဉ်း Apply
Apply Type,
Are you sure you want to delete this draft?,
At least one item is required,
Auto Apply,
Auto-receive,
Available Programs,
Back Office Cash Account is fixed by POS Profile and cannot be overridden.,
Back Office Cash Account is required for cash deposit.,
Back Office Cash Account must be a Cash account.,
Back to Sign In,
Barcode,ဘားကုဒ်
Barcode Printer,
Barcode Structure,
Barcode Type,ဘားကုဒ်အမျိုးအစား
Barcode lookup failed,
Barcode {0} already exists.,
Barcodes,ဘားကုဒ်များ
Brand,ကုန်အမှတ်တံဆိပ်
Campaign,ကင်ပိန်း
Cancel,ပျက်စေ
Cancelled,ဖျက်သိမ်းခဲ့သည်
Cancelling submitted cash movements is disabled for this POS Profile.,
Cannot add item to cart,
Cart,လှည်း
Cart is empty,
Cash Deposit,
Cash Deposit is disabled for this POS Profile.,
Cash Movement,
Cash Movement is disabled for this POS Profile.,
Cash deposit recorded,
Cash flow tracking,
Cash movement is already cancelled,
Cash movement {0} not found,
Cashier,ငှေကိုငျစာရေး
Change,ပွောငျးလဲခွငျး
Change Given,
Check your email for reset instructions,
Clear All,
Clear cart,
Click on items to add them here,
Click to change customer,
Click to select customer,
Client Request ID,
Close,ပိတ်
Close Shift,
Closed,ပိတ်ထားသော
Closing,
Closing Amount,ပမာဏပိတ်ခြင်း
Closing...,
Company,ကုမ္ပဏီ
Company is required,
Company is required.,
Company must match the selected POS Opening Shift company.,
Company must match the selected POS Profile company.,
Contact administrator to set up loyalty programs,
Context is required,
Cost Center,ကုန်ကျစရိတ် Center က
Cost Center is not set in pos profile {0},
Coupon,
Coupon Based,
Coupon Code,ကူပွန်ကုဒ်
Coupon Code Based,ကူပွန် Code ကိုအခြေခံပြီး
Coupon Description,ကူပွန်ဖော်ပြချက်
Coupon Name,ကူပွန်အမည်
Coupon Type,ကူပွန်အမျိုးအစား
Coupon has expired,
Coupon is not valid for this customer,
Coupon is not yet valid,
Create New Supplier,
Create Supplier,
Create items,
Create suppliers,
Created By,By Created
Creating...,
Credit Note,ခရက်ဒစ်မှတ်ချက်
Credit Note {0} has no remaining balance to allocate.,
Credit note {0} is already fully allocated,
Credit note {0} still has an unapplied balance of {1},
Currency,ငှေကွေး
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}",
Currency is required,
Customer,ဝယ်သူ
Customer Group,ဖောက်သည်အုပ်စု
Customer Name,ဖောက်သည်အမည်
Customer already exists,
Customer is already enrolled in {0},
Customer is already enrolled in {0}. Please unenroll from the current program first.,
Customer is not enrolled in any loyalty program,
Customer is required,customer လိုအပ်သည်
Customer is required to create an address,
Customer locked for return,
Customer mismatch: Return must be for the same customer ({0}) as the original invoice,
Customer name is required,
Customer {0} not found,
"Customer, Company, Amount, and Mode of Payment are required",
Date,နေ့စှဲ
Date & Time,
Default Loyalty Program,
Default Rate,
Default Rate is required,
Delete draft,
Deleting cancelled cash movements is disabled for this POS Profile.,
Delivery Charges,
Delivery Charges POS Profile,
Deposit,
Deposit To,
Description,ဖော်ပြချက်
Details,အသေးစိတ်အချက်အလက်များကို
Difference,ခြားနားချက်
Digits after decimal. Example: 1.000 => decimals 3.,
"Digits before decimal. Example: for 1.000, use 1 (or 2 if your scale encodes 01.000).",
Disable,ကို disable
Disabled,ချို့ငဲသော
Discount,လြှော့ခွငျး
Discount %,
Discount Amount,လျော့စျေးပမာဏ
Discount Percentage,လျော့စျေးရာခိုင်နှုန်း
Discount Type,လျှော့စျေးအမျိုးအစား
Discount amount,
Draft,မူကြမ်း
Draft invoice deleted,
Draft invoice restored to cart,
Email,အီးမေး
Email Address,အီးမေးလိပ်စာ
Email ID,အီးမေးလ်ပို့ရန် ID ကို
Email Sent Successfully,
Email address,အီးမေးလ်လိပ်စာ
Email or Username,
Enable only if barcode also contains price segment.,
"Enable when your barcode starts with a fixed prefix value (for example, 331).",
Enroll Customer,
Enrolled,စာရင်းသွင်း
Enrolling...,စာရင်းသွင်းနေသည် ...
Enter coupon code...,
Enter reason for this transaction...,
Enter supplier name,
Enter the email address associated with your account,
Enter your email address,
Enter your email or username,
Enter your email to receive a password reset link,
Enter your password,သင့်ရဲ့စကားဝှက်ကိုရိုက်ထည့်
Expected,
Expected Amount,မျှော်လင့်ထားသည့်ငွေပမာဏ
Expense,သုံးငှေ
Expense Account,စရိတ်အကောင့်
Expense Account is required for expense entries.,
Expense account is required,
Expense account is required for POS Expense.,
Expense target account must match Expense Account.,
Expires,
Failed to create payment request: {0},
Failed to delete draft invoice,
Failed to fetch draft invoices,
Failed to load draft invoice,
Failed to reconcile Credit Note {0}: {1},
Failed to reconcile Journal Entry {0}: {1},
Failed to reconcile Payment Entry {0}: {1},
Failed to record cash movement,
Failed to save draft: {0},
Failed to validate coupon,
Final Customer Offer,
"Fixed starting value of all scale barcodes (for example, 331). If set, barcodes not starting with this value are ignored.",
Forgot password?,
Generate and print barcode labels for items,
Generating...,
Gift Card,လက်ဆောင်ကဒ်
Give Item,
Give Item Row ID,
Give Product,
Given Quantity,
Grand Total,စုစုပေါင်း
In Transit,အကူးအပြောင်းတွင်
In-Transit,
In-Transit Stock,
Include QR Code,
Individual,တစ်ဦးချင်း
Invalid Opening Entry,မမှန်ကန်သောဖွင့်လှစ် Entry
Invalid POS Opening Shift data provided.,
Invalid Period,မမှန်ကန်သောကာလ
Invalid language code,
Invalid language code format: {0},
Invalid movement type for journal entry.,
Invalid movement type.,
Invalid or already used coupon code,
Invalid or expired coupon code,
Invalid payload for cash movement.,
Invalid posting date.,
Invalid {0} filter,
Invoice,ဝယ်ကုန်စာရင်း
Invoice Amount,
Invoice Currency,
Invoice details,
Invoice name is required for update,
Invoice {0} Deleted,
Invoice {0} does not exist,
Invoice {0} not found,
Item,အချက်
Item Code,item Code ကို
Item Code and Price List are required,
Item Code is required,
Item Discounts,
Item Group,item Group က
Item Price,item စျေးနှုန်း
Item Price has been added or updated,
Item Rate Should Less Then,
Item code digits,
Item code is required.,
Item code starting position,
Item {0} was not in the original invoice {1},
"Item {0}: Cannot return {1} units. Only {2} units remaining for return (Original: {3}, Already returned: {4})",
"Item {0}: Cannot return {1}, maximum returnable is {2}",
Item {0}: Discount {1}% exceeds maximum allowed {2}%,
Item {0}: Quantity must be greater than zero,
Item {0}: Rate cannot be negative,
Items,items
Journal Entry,ဂျာနယ် Entry &#39;
Journal Entry {0} has no unallocated amount remaining.,
Label,ကပ်တံဆိပ်
Label Size,
Large (60×40mm),
Linked Invoices,ဆက်နွယ်နေငွေတောင်းခံလွှာ
Loading in-transit stock...,
Loading pending orders...,
Loading suppliers...,
Loyalty,
Loyalty Information,
Loyalty Point,
Loyalty Point Scheme,
Loyalty Points,သစ္စာရှိမှုအမှတ်
Loyalty Points Redeemed,
Loyalty Program,သစ္စာရှိမှုအစီအစဉ်
Loyalty Program is required,
Loyalty Program {0} not found,
Manage loyalty for,
Material transfers awaiting receipt at your warehouse,
Max Amount,မက်စ်ငွေပမာဏ
Max Quantity,
Maximum Use,အများဆုံးအသုံးပြုမှု
Medium (50×30mm),
Method,နည်းလမ်း
Min Amount,min ငွေပမာဏ
Min Quantity,
Missing Dependency,
Mobile,မိုဘိုင်း
Mobile NO,
Mode Of Payment,ငွေပေးချေမှုရမည့်၏ Mode ကို
Mode of Payment,ငွေပေးချေမှုရမည့်၏ Mode ကို
Mode of Payments,ငွေပေးချေ၏ Mode ကို
Modes of Payment,ငွေပေးချေမှုရမည့်၏ modes
Movement Type,
Movement Type must be Expense or Deposit.,
Net Total,net ကစုစုပေါင်း
No allocation made for credit note {0},
No allocation made for payment {0},
No allocation was recorded for Credit Note {0}.,
No allocation was recorded for Journal Entry {0}.,
No allocation was recorded for Payment Entry {0}.,
No allocations were made.,
No batches available in {0} for {1}.,
No draft invoices found,
No groups found,
No in-transit stock,
No items found,
No items in cart to save.,
No items selected,
No items to invoice. Please ensure there are items on the Purchase Order.,
No items to receive.,
No items to receive. Please enter received quantities.,
No items to return.,
No loyalty programs available,
No matches found,
No material transfers pending receipt,
No open shift found. Please open a shift first.,
No orders found,
No outstanding invoices available for allocation of credit note {0},
No outstanding invoices available for allocation of payment {0},
No outstanding invoices were available to reconcile Credit Note {0}.,
No outstanding invoices were available to reconcile Journal Entry {0}.,
No outstanding invoices were available to reconcile Payment Entry {0}.,
No outstanding invoices were found for {0}.,
No pending stock,
"No query filters. Click \""Add Filter\"" to add one.",
No suppliers found,
No unallocated payments were available for reconciliation.,
No valid batches available in {0} for {1}.,
No valid items to receive.,
No valid items to return.,
Not Enrolled,
Number of decimal places encoded for the price.,
Number of digits representing the price before decimal places.,
Numpad,
Offer,
Offer Applied,
Offer Name,
Offers &amp; Coupons,
Offline,အော့ဖ်လိုင်း
Only One Use Per Customer,
Only cancelled POS Cash Movement records can be deleted.,
Only cancelled cash movements can be deleted.,
Only draft Quotations can be updated,
Only draft Sales Orders can be updated,
Only draft invoices can be deleted,
Only draft invoices can be updated,
Only draft invoices can be updated and submitted,
Only submitted cash movements can be cancelled.,
Only submitted or cancelled cash movements can be duplicated.,
Only the shift owner can create cash movement entries.,
Open,ဖွင့်လှစ်
Opening,ဖွင့်ပွဲ
Opening Amount,ဖွင့်လှစ်ငွေပမာဏ
Opening Balance Details,Balance အသေးစိတ်ဖွင့်လှစ်ခြင်း
Order History,
Order only,
Order saved as draft,
Orders,အမိန့်
Original invoice {0} not found,
Out of Stock,ပစ္စည်းပြတ်
Outgoing Stock Entry is required.,
POS,POS
POS Allowed Expense Account,
XPOS Allowed Source Account,
POS Cash Movement,
XPOS Closing Shift,
XPOS Closing Shift Detail,
XPOS Closing Shift Taxes,
XPOS Closing Shift {} against {} between selected period,
POS Coupon,
POS Coupon Detail,
POS Expense,
POS Expense is disabled for this POS Profile.,
POS Invoice,POS ငွေတောင်းခံလွှာ
POS Offer,
POS Offer Detail,
POS Offer is disabled.,
POS Opening Shift,
XPOS Opening Shift Detail,
POS Opening Shift is required,
POS Opening Shift is required to compute the overview.,
POS Opening Shift is required.,
POS Opening Shift must be submitted and open.,
POS Opening Shift not found.,
POS Opening Shift {0} is not for the same POS Profile,
POS Opening Shift {0} is not for the same company,
POS Payment Entry Reference,
POS Payments,
POS Print Format Rule,
POS Profile,POS ကိုယ်ရေးအချက်အလက်များ profile
POS Profile company must match active POS Opening Shift company.,
POS Profile is not set. Please close and reopen the shift.,
POS Profile is required,
POS Profile is required to create purchase documents.,
POS Profile is required.,
POS Profile must match the active POS Opening Shift profile.,
POS Profile must match the selected POS Opening Shift profile.,
POS Profile {} does not belongs to company {},POS ပရိုဖိုင်း {} သည်ကုမ္ပဏီနှင့်မဆိုင်ပါ။
"POS Profile, Customer, and Items are required",
POS Profiles,
POS Sales Person Filter,
POS Shift {0} is not open,
POS Transactions,POS အရောင်းအဝယ်များ
POS credit redemption for Sales Invoice {0},
POS expense recorded,
POS profile data is missing or invalid.,
Password,စကားဝှက်
Pay {0},
Payment,ငွေပေးချေမှုရမည့်
Payment Entry,ငွေပေးချေမှုရမည့် Entry &#39;
Payment Entry is already created or payment account is not matched,
Payment Entry {0} has no unallocated amount remaining.,
Payment Gateway Account not found,
Payment Reconciliation,ငွေပေးချေမှုရမည့်ပြန်လည်ရင်ကြားစေ့ရေး
Payment Request for {0},{0} များအတွက်ငွေပေးချေမှုရမည့်တောင်းဆိုခြင်း
