"1-indexed start position of item code in the full barcode. Example: for item code 3310100 in 3310100010009, start is 1.",
"1-indexed start position of weight segment. Example: in 3310100010009, weight starts at position 8.",
"<span class=\""h4\"">X POS</span>",
Accept Qty,
Account,Konti
Account Head,Umuyobozi wa Konti
Accounts Manager,Umuyobozi wa Konti
Accounts User,Umukoresha Konti
Add Filter,Ongeramo Akayunguruzo
Add New Supplier,
Add a new supplier to the system,
Add items to pay,
Add to Cart,Ongera ku Ikarita
Add/Edit Coupon Conditions,Ongeraho / Hindura Imiterere ya Coupon
Additional Discount,Kugabanuka kwinyongera
Administrator,Umuyobozi
Against Name,
All,Byose
All Groups,
All orders have been received,
Allocated {0} across {1} payment(s).,
Allocation amount for payment {0} exceeds outstanding invoices,
Amended From,Yahinduwe Kuva
Amount,Umubare
Amount Due,
Amount exceeds POS Profile cash movement max amount.,
Amount must be greater than zero,
Amount must be greater than zero.,
Applied,Bikoreshwa
Apply,Koresha
Apply For,
Apply For POS Profiles,
Apply On,Koresha
Apply Rule On Brand,Koresha Amategeko Kubirango
Apply Rule On Item Code,Koresha Amategeko Kubintu Kode
Apply Rule On Item Group,Koresha Amategeko Kumatsinda Yitsinda
Apply Type,
Are you sure you want to delete this draft?,
At least one item is required,
Auto Apply,
Auto-receive,
Available Programs,
Back Office Cash Account is fixed by POS Profile and cannot be overridden.,
Back Office Cash Account is required for cash deposit.,
Back Office Cash Account must be a Cash account.,
Back to Sign In,
Barcode,Barcode
Barcode Printer,
Barcode Structure,
Barcode Type,Ubwoko bwa Barcode
Barcode lookup failed,
Barcode {0} already exists.,
Barcodes,Barcode
Brand,Ikirango
Campaign,Ubukangurambaga
Cancel,Kureka
Cancelled,Yahagaritswe
Cancelling submitted cash movements is disabled for this POS Profile.,
Cannot add item to cart,
Cart,Igare
Cart is empty,
Cash Deposit,
Cash Deposit is disabled for this POS Profile.,
Cash Movement,
Cash Movement is disabled for this POS Profile.,
Cash deposit recorded,
Cash flow tracking,
Cash movement is already cancelled,
Cash movement {0} not found,
Cashier,Cashier
Change,Hindura
Change Given,
Check your email for reset instructions,
Clear All,
Clear cart,
Click on items to add them here,
Click to change customer,
Click to select customer,
Client Request ID,
Close,Funga
Close Shift,
Closed,Gufunga
Closing,
Closing Amount,Amafaranga yo gufunga
Closing...,
Company,Isosiyete
Company is required,
Company is required.,
Company must match the selected POS Opening Shift company.,
Company must match the selected POS Profile company.,
Contact administrator to set up loyalty programs,
Context is required,
Cost Center,Ikiguzi
Cost Center is not set in pos profile {0},
Coupon,
Coupon Based,
Coupon Code,Kode ya Coupon
Coupon Code Based,Coupon Code ishingiye
Coupon Description,Ibisobanuro bya Coupon
Coupon Name,Izina rya Coupon
Coupon Type,Ubwoko bwa Coupon
Coupon has expired,
Coupon is not valid for this customer,
Coupon is not yet valid,
Create New Supplier,
Create Supplier,
Create items,
Create suppliers,
Created By,Byaremwe na
Creating...,
Credit Note,Icyitonderwa cy&#39;inguzanyo
Credit Note {0} has no remaining balance to allocate.,
Credit note {0} is already fully allocated,
Credit note {0} still has an unapplied balance of {1},
Currency,Ifaranga
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}",
Currency is required,
Customer,Umukiriya
Customer Group,Itsinda ry&#39;abakiriya
Customer Name,Izina ryabakiriya
Customer already exists,
Customer is already enrolled in {0},
Customer is already enrolled in {0}. Please unenroll from the current program first.,
Customer is not enrolled in any loyalty program,
Customer is required,Umukiriya arasabwa
Customer is required to create an address,
Customer locked for return,
Customer mismatch: Return must be for the same customer ({0}) as the original invoice,
Customer name is required,
Customer {0} not found,
"Customer, Company, Amount, and Mode of Payment are required",
Date,Itariki
Date & Time,
Default Loyalty Program,
Default Rate,
Default Rate is required,
Delete draft,
Deleting cancelled cash movements is disabled for this POS Profile.,
Delivery Charges,
Delivery Charges POS Profile,
Deposit,
Deposit To,
Description,Ibisobanuro
Details,Ibisobanuro
Difference,Itandukaniro
Digits after decimal. Example: 1.000 => decimals 3.,
"Digits before decimal. Example: for 1.000, use 1 (or 2 if your scale encodes 01.000).",
Disable,Hagarika
Disabled,Abamugaye
Discount,Kugabanuka
Discount %,
Discount Amount,Amafaranga yagabanutse
Discount Percentage,Kugabanuka kw&#39;ijana
Discount Type,Ubwoko bwo Kugabanuka
Discount amount,
Draft,Inyandiko
Draft invoice deleted,
Draft invoice restored to cart,
Email,Imeri
Email Address,Aderesi ya imeri
Email ID,Indangamuntu ya imeri
Email Sent Successfully,
Email address,Aderesi imeri
Email or Username,
Enable only if barcode also contains price segment.,
"Enable when your barcode starts with a fixed prefix value (for example, 331).",
Enroll Customer,
Enrolled,Kwiyandikisha
Enrolling...,Kwiyandikisha ...
Enter coupon code...,
Enter reason for this transaction...,
Enter supplier name,
Enter the email address associated with your account,
Enter your email address,
Enter your email or username,
Enter your email to receive a password reset link,
Enter your password,Injira ijambo ryibanga
Expected,
Expected Amount,Amafaranga ateganijwe
Expense,Amafaranga
Expense Account,Konti ikoreshwa
Expense Account is required for expense entries.,
Expense account is required,
Expense account is required for POS Expense.,
Expense target account must match Expense Account.,
Expires,
Failed to create payment request: {0},
Failed to delete draft invoice,
Failed to fetch draft invoices,
Failed to load draft invoice,
Failed to reconcile Credit Note {0}: {1},
Failed to reconcile Journal Entry {0}: {1},
Failed to reconcile Payment Entry {0}: {1},
Failed to record cash movement,
Failed to save draft: {0},
Failed to validate coupon,
Final Customer Offer,
"Fixed starting value of all scale barcodes (for example, 331). If set, barcodes not starting with this value are ignored.",
Forgot password?,
Generate and print barcode labels for items,
Generating...,
Gift Card,Ikarita y&#39;Impano
Give Item,
Give Item Row ID,
Give Product,
Given Quantity,
Grand Total,Igiteranyo Cyinshi
In Transit,Muri Transit
In-Transit,
In-Transit Stock,
Include QR Code,
Individual,Umuntu ku giti cye
Invalid Opening Entry,Gufungura bitemewe
Invalid POS Opening Shift data provided.,
Invalid Period,Ikiringo kitemewe
Invalid language code,
Invalid language code format: {0},
Invalid movement type for journal entry.,
Invalid movement type.,
Invalid or already used coupon code,
Invalid or expired coupon code,
Invalid payload for cash movement.,
Invalid posting date.,
Invalid {0} filter,
Invoice,Inyemezabuguzi
Invoice Amount,
Invoice Currency,
Invoice details,
Invoice name is required for update,
Invoice {0} Deleted,
Invoice {0} does not exist,
Invoice {0} not found,
Item,Ingingo
Item Code,Kode y&#39;Ikintu
Item Code and Price List are required,
Item Code is required,
Item Discounts,
Item Group,Itsinda ryikintu
Item Price,Igiciro cyikintu
Item Price has been added or updated,
Item Rate Should Less Then,
Item code digits,
Item code is required.,
Item code starting position,
Item {0} was not in the original invoice {1},
"Item {0}: Cannot return {1} units. Only {2} units remaining for return (Original: {3}, Already returned: {4})",
"Item {0}: Cannot return {1}, maximum returnable is {2}",
Item {0}: Discount {1}% exceeds maximum allowed {2}%,
Item {0}: Quantity must be greater than zero,
Item {0}: Rate cannot be negative,
Items,Ibintu
Journal Entry,Kwinjira mu Kinyamakuru
Journal Entry {0} has no unallocated amount remaining.,
Label,Ikirango
Label Size,
Large (60×40mm),
Linked Invoices,Inyemezabuguzi zihujwe
Loading in-transit stock...,
Loading pending orders...,
Loading suppliers...,
Loyalty,
Loyalty Information,
Loyalty Point,
Loyalty Point Scheme,
Loyalty Points,Ingingo Zubudahemuka
Loyalty Points Redeemed,
Loyalty Program,Gahunda yo Kudahemukira
Loyalty Program is required,
Loyalty Program {0} not found,
Manage loyalty for,
Material transfers awaiting receipt at your warehouse,
Max Amount,Umubare ntarengwa
Max Quantity,
Maximum Use,Gukoresha Ntarengwa
Medium (50×30mm),
Method,Uburyo
Min Amount,Umubare muto
Min Quantity,
Missing Dependency,
Mobile,Igendanwa
Mobile NO,
Mode Of Payment,Uburyo bwo Kwishura
Mode of Payment,Uburyo bwo Kwishura
Mode of Payments,Uburyo bwo Kwishura
Modes of Payment,Uburyo bwo Kwishura
Movement Type,
Movement Type must be Expense or Deposit.,
Net Total,Igiteranyo Cyuzuye
No allocation made for credit note {0},
No allocation made for payment {0},
No allocation was recorded for Credit Note {0}.,
No allocation was recorded for Journal Entry {0}.,
No allocation was recorded for Payment Entry {0}.,
No allocations were made.,
No batches available in {0} for {1}.,
No draft invoices found,
No groups found,
No in-transit stock,
No items found,
No items in cart to save.,
No items selected,
No items to invoice. Please ensure there are items on the Purchase Order.,
No items to receive.,
No items to receive. Please enter received quantities.,
No items to return.,
No loyalty programs available,
No matches found,
No material transfers pending receipt,
No open shift found. Please open a shift first.,
No orders found,
No outstanding invoices available for allocation of credit note {0},
No outstanding invoices available for allocation of payment {0},
No outstanding invoices were available to reconcile Credit Note {0}.,
No outstanding invoices were available to reconcile Journal Entry {0}.,
No outstanding invoices were available to reconcile Payment Entry {0}.,
No outstanding invoices were found for {0}.,
No pending stock,
"No query filters. Click \""Add Filter\"" to add one.",
No suppliers found,
No unallocated payments were available for reconciliation.,
No valid batches available in {0} for {1}.,
No valid items to receive.,
No valid items to return.,
Not Enrolled,
Number of decimal places encoded for the price.,
Number of digits representing the price before decimal places.,
Numpad,
Offer,
Offer Applied,
Offer Name,
Offers &amp; Coupons,
Offline,Kurubuga
Only One Use Per Customer,
Only cancelled POS Cash Movement records can be deleted.,
Only cancelled cash movements can be deleted.,
Only draft Quotations can be updated,
Only draft Sales Orders can be updated,
Only draft invoices can be deleted,
Only draft invoices can be updated,
Only draft invoices can be updated and submitted,
Only submitted cash movements can be cancelled.,
Only submitted or cancelled cash movements can be duplicated.,
Only the shift owner can create cash movement entries.,
Open,Fungura
Opening,Gufungura
Opening Amount,Amafaranga yo gufungura
Opening Balance Details,Gufungura Impirimbanyi
Order History,
Order only,
Order saved as draft,
Orders,Amabwiriza
Original invoice {0} not found,
Out of Stock,Ntibisanzwe
Outgoing Stock Entry is required.,
POS,POS
POS Allowed Expense Account,
XPOS Allowed Source Account,
POS Cash Movement,
XPOS Closing Shift,
XPOS Closing Shift Detail,
XPOS Closing Shift Taxes,
XPOS Closing Shift {} against {} between selected period,
POS Coupon,
POS Coupon Detail,
POS Expense,
POS Expense is disabled for this POS Profile.,
POS Invoice,Inyemezabuguzi ya POS
POS Offer,
POS Offer Detail,
POS Offer is disabled.,
POS Opening Shift,
XPOS Opening Shift Detail,
POS Opening Shift is required,
POS Opening Shift is required to compute the overview.,
POS Opening Shift is required.,
POS Opening Shift must be submitted and open.,
POS Opening Shift not found.,
POS Opening Shift {0} is not for the same POS Profile,
POS Opening Shift {0} is not for the same company,
POS Payment Entry Reference,
POS Payments,
POS Print Format Rule,
POS Profile,Umwirondoro wa POS
POS Profile company must match active POS Opening Shift company.,
POS Profile is not set. Please close and reopen the shift.,
POS Profile is required,
POS Profile is required to create purchase documents.,
POS Profile is required.,
POS Profile must match the active POS Opening Shift profile.,
POS Profile must match the selected POS Opening Shift profile.,
POS Profile {} does not belongs to company {},Umwirondoro wa POS {} ntabwo ari uw&#39;isosiyete {}
"POS Profile, Customer, and Items are required",
POS Profiles,
POS Sales Person Filter,
POS Shift {0} is not open,
POS Transactions,Ibikorwa bya POS
POS credit redemption for Sales Invoice {0},
POS expense recorded,
POS profile data is missing or invalid.,
Password,Ijambobanga
Pay {0},
Payment,Kwishura
Payment Entry,Kwinjira
Payment Entry is already created or payment account is not matched,
Payment Entry {0} has no unallocated amount remaining.,
Payment Gateway Account not found,
Payment Reconciliation,Ubwiyunge bwo Kwishura
Payment Request for {0},Gusaba kwishyura {0}
Payment amount cannot be less than or equal to 0,Amafaranga yo kwishyura ntashobora kuba munsi cyangwa angana na 0
Payment amount must be greater than zero,
Payment {0} is already fully allocated,
Payments,Kwishura
Pending,Bitegereje
Period End Date,Itariki yo kurangiriraho
Period Start Date,Itariki yo Gutangiriraho
Phone number,
Please enter the phone number first,Nyamuneka andika nimero ya terefone
Please select Coupon Code Based POS Offer.,
Please select a customer before adding items to the cart,
Please select a customer before holding the order.,
Please select the correct POS Offer with the same company.,
Please select the customer.,Nyamuneka hitamo umukiriya.
Please set Default Payable Account in Company {0},
Please set default account for Mode of Payment {0} in company {1},
Point of Sale System,
Points Earned,
Points Redeemed,
Points Value,
"Positions are 1-indexed and counted on the full barcode. Example: 3310100010009 => prefix 331, item code 3310100, weight 1.000, check digit 9.",
Posting Date,Itariki yoherejwe
Prefix,Ijambo ryibanze
Prefix included in barcode,
Prefix length,
"Prefix length (for example, prefix 331 => length 3). Item/weight start positions still use full barcode positions.",
Price,Igiciro
Price Discount Scheme ,
Price List is required,
Price decimals,
Price digits,
Price included in barcode,
Price starting position,
Primary Customer Offer,
Print,Icapa
Print Format,Shira Imiterere
Print Labels,
Print Last Invoice,
Process Return,
Process Return {0},
Processing...,Gutunganya ...
Product Discount Scheme,Gahunda yo Kugabanya Ibicuruzwa
Profile,
Profiles List,
Program,Gahunda
Promo Type,
Promotional,Kwamamaza
Promotional Schemes,
Purchase,Kugura
