"1-indexed start position of item code in the full barcode. Example: for item code 3310100 in 3310100010009, start is 1.",
"1-indexed start position of weight segment. Example: in 3310100010009, weight starts at position 8.",
"<span class=\""h4\"">X POS</span>",
Accept Qty,
Account,ගිණුම
Account Head,ගිණුම් අංශයේ ප්රධානී
Accounts Manager,ගිණුම් කළමනාකරු
Accounts User,ගිණුම් පරිශීලක
Add Filter,පෙරහන් එකතු කරන්න
Add New Supplier,
Add a new supplier to the system,
Add items to pay,
Add to Cart,ගැලට එක් කරන්න
Add/Edit Coupon Conditions,කූපන් කොන්දේසි එකතු කරන්න / සංස්කරණය කරන්න
Additional Discount,අතිරේක වට්ටම්
Administrator,පරිපාලක
Against Name,
All,සෑම
All Groups,
All orders have been received,
Allocated {0} across {1} payment(s).,
Allocation amount for payment {0} exceeds outstanding invoices,
Amended From,සංශෝධිත වන සිට
Amount,ප්රමාණය
Amount Due,
Amount exceeds POS Profile cash movement max amount.,
Amount must be greater than zero,
Amount must be greater than zero.,
Applied,ව්යවහාරික
Apply,අදාළ
Apply For,
Apply For POS Profiles,
Apply On,දා යොමු කරන්න
Apply Rule On Brand,වෙළඳ නාමය මත රීතිය යොදන්න
Apply Rule On Item Code,අයිතම කේතය මත රීතිය යොදන්න
Apply Rule On Item Group,අයිතම සමූහයට රීතිය යොදන්න
Apply Type,
Are you sure you want to delete this draft?,
At least one item is required,
Auto Apply,
Auto-receive,
Available Programs,
Back Office Cash Account is fixed by POS Profile and cannot be overridden.,
Back Office Cash Account is required for cash deposit.,
Back Office Cash Account must be a Cash account.,
Back to Sign In,
Barcode,තීරු කේතය
Barcode Printer,
Barcode Structure,
Barcode Type,බාර්කෝඩ් වර්ගය
Barcode lookup failed,
Barcode {0} already exists.,
Barcodes,බාර්කෝඩ්
Brand,වෙළඳ නාමය
Campaign,ව්යාපාරය
Cancel,අවලංගු කරන්න
Cancelled,අවලංගු කළා
Cancelling submitted cash movements is disabled for this POS Profile.,
Cannot add item to cart,
Cart,කරත්ත
Cart is empty,
Cash Deposit,
Cash Deposit is disabled for this POS Profile.,
Cash Movement,
Cash Movement is disabled for this POS Profile.,
Cash deposit recorded,
Cash flow tracking,
Cash movement is already cancelled,
Cash movement {0} not found,
Cashier,කෑෂ්
Change,වෙනස්
Change Given,
Check your email for reset instructions,
Clear All,
Clear cart,
Click on items to add them here,
Click to change customer,
Click to select customer,
Client Request ID,
Close,සමීප
Close Shift,
Closed,වසා
Closing,
Closing Amount,අවසන් මුදල
Closing...,
Company,සමාගම
Company is required,
Company is required.,
Company must match the selected POS Opening Shift company.,
Company must match the selected POS Profile company.,
Contact administrator to set up loyalty programs,
Context is required,
Cost Center,පිරිවැය මධ්යස්ථානය
Cost Center is not set in pos profile {0},
Coupon,
Coupon Based,
Coupon Code,කූපන් කේතය
Coupon Code Based,කූපන් කේතය පදනම් කරගත්
Coupon Description,කූපන් විස්තරය
Coupon Name,කූපන් නම
Coupon Type,කූපන් වර්ගය
Coupon has expired,
Coupon is not valid for this customer,
Coupon is not yet valid,
Create New Supplier,
Create Supplier,
Create items,
Create suppliers,
Created By,නිර්මාණය කළේ
Creating...,
Credit Note,ක්රෙඩිට් සටහන
Credit Note {0} has no remaining balance to allocate.,
Credit note {0} is already fully allocated,
Credit note {0} still has an unapplied balance of {1},
Currency,මුදල්
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}",
Currency is required,
Customer,පාරිභෝගික
Customer Group,කස්ටමර් සමූහයේ
Customer Name,පාරිභෝගිකයාගේ නම
Customer already exists,
Customer is already enrolled in {0},
Customer is already enrolled in {0}. Please unenroll from the current program first.,
Customer is not enrolled in any loyalty program,
Customer is required,පාරිභෝගික අවශ්ය වේ
Customer is required to create an address,
Customer locked for return,
Customer mismatch: Return must be for the same customer ({0}) as the original invoice,
Customer name is required,
Customer {0} not found,
"Customer, Company, Amount, and Mode of Payment are required",
Date,දිනය
Date & Time,
Default Loyalty Program,
Default Rate,
Default Rate is required,
Delete draft,
Deleting cancelled cash movements is disabled for this POS Profile.,
Delivery Charges,
Delivery Charges POS Profile,
Deposit,
Deposit To,
Description,විස්තර
Details,විස්තර
Difference,වෙනස
Digits after decimal. Example: 1.000 => decimals 3.,
"Digits before decimal. Example: for 1.000, use 1 (or 2 if your scale encodes 01.000).",
Disable,අක්රීය
Disabled,ආබාධිත
Discount,වට්ටමක්
Discount %,
Discount Amount,වට්ටමක් මුදල
Discount Percentage,වට්ටමක් ප්රතිශතය
Discount Type,වට්ටම් වර්ගය
Discount amount,
Draft,කෙටුම්පත
Draft invoice deleted,
Draft invoice restored to cart,
Email,විද්යුත් තැපෑල
Email Address,විද්යුත් තැපැල් ලිපිනය
Email ID,ඊමේල් හැඳුනුම්පත
Email Sent Successfully,
Email address,විද්යුත් තැපැල් ලිපිනය
Email or Username,
Enable only if barcode also contains price segment.,
"Enable when your barcode starts with a fixed prefix value (for example, 331).",
Enroll Customer,
Enrolled,ලියාපදිංචි විය
Enrolling...,ලියාපදිංචි වෙමින් ...
Enter coupon code...,
Enter reason for this transaction...,
Enter supplier name,
Enter the email address associated with your account,
Enter your email address,
Enter your email or username,
Enter your email to receive a password reset link,
Enter your password,ඔබගේ මුර පදය ඇතුලත් කරන්න
Expected,
Expected Amount,අපේක්ෂිත මුදල
Expense,වියදම්
Expense Account,වියදම් ගිණුම
Expense Account is required for expense entries.,
Expense account is required,
Expense account is required for POS Expense.,
Expense target account must match Expense Account.,
Expires,
Failed to create payment request: {0},
Failed to delete draft invoice,
Failed to fetch draft invoices,
Failed to load draft invoice,
Failed to reconcile Credit Note {0}: {1},
Failed to reconcile Journal Entry {0}: {1},
Failed to reconcile Payment Entry {0}: {1},
Failed to record cash movement,
Failed to save draft: {0},
Failed to validate coupon,
Final Customer Offer,
"Fixed starting value of all scale barcodes (for example, 331). If set, barcodes not starting with this value are ignored.",
Forgot password?,
Generate and print barcode labels for items,
Generating...,
Gift Card,තෑගි කාඩ්පත
Give Item,
Give Item Row ID,
Give Product,
Given Quantity,
Grand Total,මුලු එකතුව
In Transit,ප්රවාහනයේ
In-Transit,
In-Transit Stock,
Include QR Code,
Individual,තනි
Invalid Opening Entry,අවලංගු විවෘත කිරීමේ ප්‍රවේශය
Invalid POS Opening Shift data provided.,
Invalid Period,අවලංගු කාල සීමාව
Invalid language code,
Invalid language code format: {0},
Invalid movement type for journal entry.,
Invalid movement type.,
Invalid or already used coupon code,
Invalid or expired coupon code,
Invalid payload for cash movement.,
Invalid posting date.,
Invalid {0} filter,
Invoice,ඉන්වොයිසිය
Invoice Amount,
Invoice Currency,
Invoice details,
Invoice name is required for update,
Invoice {0} Deleted,
Invoice {0} does not exist,
Invoice {0} not found,
Item,අයිතමය
Item Code,අයිතමය සංග්රහයේ
Item Code and Price List are required,
Item Code is required,
Item Discounts,
Item Group,අයිතමය සමූහ
Item Price,අයිතමය මිල
Item Price has been added or updated,
Item Rate Should Less Then,
Item code digits,
Item code is required.,
Item code starting position,
Item {0} was not in the original invoice {1},
"Item {0}: Cannot return {1} units. Only {2} units remaining for return (Original: {3}, Already returned: {4})",
"Item {0}: Cannot return {1}, maximum returnable is {2}",
Item {0}: Discount {1}% exceeds maximum allowed {2}%,
Item {0}: Quantity must be greater than zero,
Item {0}: Rate cannot be negative,
Items,අයිතම
Journal Entry,ජර්නල් සටහන්
Journal Entry {0} has no unallocated amount remaining.,
Label,ලේබලය
Label Size,
Large (60×40mm),
Linked Invoices,සම්බන්ධිත ඉන්වොයිසි
Loading in-transit stock...,
Loading pending orders...,
Loading suppliers...,
Loyalty,
Loyalty Information,
Loyalty Point,
Loyalty Point Scheme,
Loyalty Points,ලෝයල්ටි පොයින්ට්ස්
Loyalty Points Redeemed,
Loyalty Program,පක්ෂපාතිත්වය වැඩසටහන
Loyalty Program is required,
Loyalty Program {0} not found,
Manage loyalty for,
Material transfers awaiting receipt at your warehouse,
Max Amount,මැක්ස් මුදල
Max Quantity,
Maximum Use,උපරිම භාවිතය
Medium (50×30mm),
Method,ක්රමය
Min Amount,අවම මුදල
Min Quantity,
Missing Dependency,
Mobile,ජංගම
Mobile NO,
Mode Of Payment,ගෙවීම් ක්රමය
Mode of Payment,ගෙවීමේ ක්රමය
Mode of Payments,ගෙවීමේ ක්රමය
Modes of Payment,ගෙවන ආකාරය
Movement Type,
Movement Type must be Expense or Deposit.,
Net Total,ශුද්ධ මුළු
No allocation made for credit note {0},
No allocation made for payment {0},
No allocation was recorded for Credit Note {0}.,
No allocation was recorded for Journal Entry {0}.,
No allocation was recorded for Payment Entry {0}.,
No allocations were made.,
No batches available in {0} for {1}.,
No draft invoices found,
No groups found,
No in-transit stock,
No items found,
No items in cart to save.,
No items selected,
No items to invoice. Please ensure there are items on the Purchase Order.,
No items to receive.,
No items to receive. Please enter received quantities.,
No items to return.,
No loyalty programs available,
No matches found,
No material transfers pending receipt,
No open shift found. Please open a shift first.,
No orders found,
No outstanding invoices available for allocation of credit note {0},
No outstanding invoices available for allocation of payment {0},
No outstanding invoices were available to reconcile Credit Note {0}.,
No outstanding invoices were available to reconcile Journal Entry {0}.,
No outstanding invoices were available to reconcile Payment Entry {0}.,
No outstanding invoices were found for {0}.,
No pending stock,
"No query filters. Click \""Add Filter\"" to add one.",
No suppliers found,
No unallocated payments were available for reconciliation.,
No valid batches available in {0} for {1}.,
No valid items to receive.,
No valid items to return.,
Not Enrolled,
Number of decimal places encoded for the price.,
Number of digits representing the price before decimal places.,
Numpad,
Offer,
Offer Applied,
Offer Name,
Offers &amp; Coupons,
Offline,නොබැඳි
Only One Use Per Customer,
Only cancelled POS Cash Movement records can be deleted.,
Only cancelled cash movements can be deleted.,
Only draft Quotations can be updated,
Only draft Sales Orders can be updated,
Only draft invoices can be deleted,
Only draft invoices can be updated,
Only draft invoices can be updated and submitted,
Only submitted cash movements can be cancelled.,
Only submitted or cancelled cash movements can be duplicated.,
Only the shift owner can create cash movement entries.,
Open,විවෘත
Opening,විවෘත
Opening Amount,විවෘත මුදල
Opening Balance Details,ශේෂ විස්තර විවෘත කිරීම
Order History,
Order only,
Order saved as draft,
Orders,නියෝග
Original invoice {0} not found,
Out of Stock,තොග අවසන්
Outgoing Stock Entry is required.,
POS,POS
POS Allowed Expense Account,
XPOS Allowed Source Account,
POS Cash Movement,
XPOS Closing Shift,
XPOS Closing Shift Detail,
XPOS Closing Shift Taxes,
XPOS Closing Shift {} against {} between selected period,
POS Coupon,
POS Coupon Detail,
POS Expense,
POS Expense is disabled for this POS Profile.,
POS Invoice,POS ඉන්වොයිසිය
POS Offer,
POS Offer Detail,
POS Offer is disabled.,
POS Opening Shift,
XPOS Opening Shift Detail,
POS Opening Shift is required,
POS Opening Shift is required to compute the overview.,
POS Opening Shift is required.,
POS Opening Shift must be submitted and open.,
POS Opening Shift not found.,
POS Opening Shift {0} is not for the same POS Profile,
POS Opening Shift {0} is not for the same company,
POS Payment Entry Reference,
POS Payments,
POS Print Format Rule,
POS Profile,POS නරඹන්න
POS Profile company must match active POS Opening Shift company.,
POS Profile is not set. Please close and reopen the shift.,
POS Profile is required,
POS Profile is required to create purchase documents.,
POS Profile is required.,
POS Profile must match the active POS Opening Shift profile.,
POS Profile must match the selected POS Opening Shift profile.,
POS Profile {} does not belongs to company {},POS පැතිකඩ {company සමාගමට අයත් නොවේ {}
"POS Profile, Customer, and Items are required",
POS Profiles,
POS Sales Person Filter,
POS Shift {0} is not open,
POS Transactions,POS ගනුදෙනු
POS credit redemption for Sales Invoice {0},
POS expense recorded,
POS profile data is missing or invalid.,
Password,මුරපදය
Pay {0},
Payment,ගෙවීම
Payment Entry,ගෙවීම් සටහන්
Payment Entry is already created or payment account is not matched,
Payment Entry {0} has no unallocated amount remaining.,
Payment Gateway Account not found,
Payment Reconciliation,ගෙවීම් ප්රතිසන්ධාන
Payment Request for {0},{0} සඳහා ගෙවීම් ඉල්ලීම්
Payment amount cannot be less than or equal to 0,ගෙවීම් ප්‍රමාණය 0 ට වඩා අඩු හෝ සමාන විය නොහැක
Payment amount must be greater than zero,
Payment {0} is already fully allocated,
Payments,ගෙවීම
Pending,විභාග
Period End Date,කාලය අවසන් වන දිනය
Period Start Date,කාලය ආරම්භක දිනය
Phone number,
Please enter the phone number first,කරුණාකර පළමුව දුරකථන අංකය ඇතුළත් කරන්න
Please select Coupon Code Based POS Offer.,
Please select a customer before adding items to the cart,
Please select a customer before holding the order.,
Please select the correct POS Offer with the same company.,
Please select the customer.,කරුණාකර පාරිභෝගිකයා තෝරන්න.
Please set Default Payable Account in Company {0},
Please set default account for Mode of Payment {0} in company {1},
Point of Sale System,
Points Earned,
Points Redeemed,
Points Value,
"Positions are 1-indexed and counted on the full barcode. Example: 3310100010009 => prefix 331, item code 3310100, weight 1.000, check digit 9.",
Posting Date,"ගිය තැන, දිනය"
