"1-indexed start position of item code in the full barcode. Example: for item code 3310100 in 3310100010009, start is 1.",
"1-indexed start position of weight segment. Example: in 3310100010009, weight starts at position 8.",
"<span class=\""h4\"">X POS</span>",
Accept Qty,
Account,účet
Account Head,Účet Head
Accounts Manager,Manažér účtov
Accounts User,Uživatel Účtů
Add Filter,Pridať filter
Add New Supplier,
Add a new supplier to the system,
Add items to pay,
Add to Cart,Pridať do košíka
Add/Edit Coupon Conditions,Pridať / upraviť podmienky kupónu
Additional Discount,Ďalšie zľavy
Administrator,Správce
Against Name,
All,ALL
All Groups,
All orders have been received,
Allocated {0} across {1} payment(s).,
Allocation amount for payment {0} exceeds outstanding invoices,
Amended From,Platném znění
Amount,Částka
Amount Due,
Amount exceeds POS Profile cash movement max amount.,
Amount must be greater than zero,
Amount must be greater than zero.,
Applied,aplikovaný
Apply,platiť
Apply For,
Apply For POS Profiles,
Apply On,Aplikujte na
Apply Rule On Brand,Použiť pravidlo na značku
Apply Rule On Item Code,Použiť pravidlo pre kód položky
Apply Rule On Item Group,Použiť pravidlo pre skupinu položiek
Apply Type,
Are you sure you want to delete this draft?,
At least one item is required,
Auto Apply,
Auto-receive,
Available Programs,
Back Office Cash Account is fixed by POS Profile and cannot be overridden.,
Back Office Cash Account is required for cash deposit.,
Back Office Cash Account must be a Cash account.,
Back to Sign In,
Barcode,čiarový kód
Barcode Printer,
Barcode Structure,
Barcode Type,Typ čiarového kódu
Barcode lookup failed,
Barcode {0} already exists.,
Barcodes,čiarové kódy
Brand,značka
Campaign,kampaň
Cancel,Zrušit
Cancelled,zrušený
Cancelling submitted cash movements is disabled for this POS Profile.,
Cannot add item to cart,
Cart,Košík
Cart is empty,
Cash Deposit,
Cash Deposit is disabled for this POS Profile.,
Cash Movement,
Cash Movement is disabled for this POS Profile.,
Cash deposit recorded,
Cash flow tracking,
Cash movement is already cancelled,
Cash movement {0} not found,
Cashier,Pokladník
Change,Zmena
Change Given,
Check your email for reset instructions,
Clear All,
Clear cart,
Click on items to add them here,
Click to change customer,
Click to select customer,
Client Request ID,
Close,Zavrieť
Close Shift,
Closed,Zavreté
Closing,
Closing Amount,Konečná suma
Closing...,
Company,Spoločnosť
Company is required,
Company is required.,
Company must match the selected POS Opening Shift company.,
Company must match the selected POS Profile company.,
Contact administrator to set up loyalty programs,
Context is required,
Cost Center,Nákladové stredisko
Cost Center is not set in pos profile {0},
Coupon,
Coupon Based,
Coupon Code,kód kupónu
Coupon Code Based,Na základe kódu kupónu
Coupon Description,Popis kupónu
Coupon Name,Názov kupónu
Coupon Type,Typ kupónu
Coupon has expired,
Coupon is not valid for this customer,
Coupon is not yet valid,
Create New Supplier,
Create Supplier,
Create items,
Create suppliers,
Created By,Vytvorené (kým)
Creating...,
Credit Note,Dobropis
Credit Note {0} has no remaining balance to allocate.,
Credit note {0} is already fully allocated,
Credit note {0} still has an unapplied balance of {1},
Currency,Mena
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}",
Currency is required,
Customer,zákazník
Customer Group,Zákaznícka skupina
Customer Name,Meno zákazníka
Customer already exists,
Customer is already enrolled in {0},
Customer is already enrolled in {0}. Please unenroll from the current program first.,
Customer is not enrolled in any loyalty program,
Customer is required,Je nutná zákazník
Customer is required to create an address,
Customer locked for return,
Customer mismatch: Return must be for the same customer ({0}) as the original invoice,
Customer name is required,
Customer {0} not found,
"Customer, Company, Amount, and Mode of Payment are required",
Date,Dátum
Date & Time,
Default Loyalty Program,
Default Rate,
Default Rate is required,
Delete draft,
Deleting cancelled cash movements is disabled for this POS Profile.,
Delivery Charges,
Delivery Charges POS Profile,
Deposit,
Deposit To,
Description,Popis
Details,Podrobnosti
Difference,Rozdiel
Digits after decimal. Example: 1.000 => decimals 3.,
"Digits before decimal. Example: for 1.000, use 1 (or 2 if your scale encodes 01.000).",
Disable,Vypnúť
Disabled,Vypnuté
Discount,zľava
Discount %,
Discount Amount,Čiastka zľavy
Discount Percentage,Zľava v percentách
Discount Type,Typ zľavy
Discount amount,
Draft,Návrh
Draft invoice deleted,
Draft invoice restored to cart,
Email,e-mail
Email Address,Emailová adresa
Email ID,ID e-mailu
Email Sent Successfully,
Email address,E-mailová adresa
Email or Username,
Enable only if barcode also contains price segment.,
"Enable when your barcode starts with a fixed prefix value (for example, 331).",
Enroll Customer,
Enrolled,Zapísaný
Enrolling...,Registruje sa ...
Enter coupon code...,
Enter reason for this transaction...,
Enter supplier name,
Enter the email address associated with your account,
Enter your email address,
Enter your email or username,
Enter your email to receive a password reset link,
Enter your password,Zadajte heslo
Expected,
Expected Amount,Očakávaná suma
Expense,Výdaj
Expense Account,Účtet nákladů
Expense Account is required for expense entries.,
Expense account is required,
Expense account is required for POS Expense.,
Expense target account must match Expense Account.,
Expires,
Failed to create payment request: {0},
Failed to delete draft invoice,
Failed to fetch draft invoices,
Failed to load draft invoice,
Failed to reconcile Credit Note {0}: {1},
Failed to reconcile Journal Entry {0}: {1},
Failed to reconcile Payment Entry {0}: {1},
Failed to record cash movement,
Failed to save draft: {0},
Failed to validate coupon,
Final Customer Offer,
"Fixed starting value of all scale barcodes (for example, 331). If set, barcodes not starting with this value are ignored.",
Forgot password?,
Generate and print barcode labels for items,
Generating...,
Gift Card,Darčeková karta
Give Item,
Give Item Row ID,
Give Product,
Given Quantity,
Grand Total,Celkem
In Transit,V preprave
In-Transit,
In-Transit Stock,
Include QR Code,
Individual,Individuální
Invalid Opening Entry,Neplatný úvodný záznam
Invalid POS Opening Shift data provided.,
Invalid Period,Neplatné obdobie
Invalid language code,
Invalid language code format: {0},
Invalid movement type for journal entry.,
Invalid movement type.,
Invalid or already used coupon code,
Invalid or expired coupon code,
Invalid payload for cash movement.,
Invalid posting date.,
Invalid {0} filter,
Invoice,faktúra
Invoice Amount,
Invoice Currency,
Invoice details,
Invoice name is required for update,
Invoice {0} Deleted,
Invoice {0} does not exist,
Invoice {0} not found,
Item,položka
Item Code,Kód položky
Item Code and Price List are required,
Item Code is required,
Item Discounts,
Item Group,Položková skupina
Item Price,Položka Cena
Item Price has been added or updated,
Item Rate Should Less Then,
Item code digits,
Item code is required.,
Item code starting position,
Item {0} was not in the original invoice {1},
"Item {0}: Cannot return {1} units. Only {2} units remaining for return (Original: {3}, Already returned: {4})",
"Item {0}: Cannot return {1}, maximum returnable is {2}",
Item {0}: Discount {1}% exceeds maximum allowed {2}%,
Item {0}: Quantity must be greater than zero,
Item {0}: Rate cannot be negative,
Items,Položky
Journal Entry,Zápis do deníku
Journal Entry {0} has no unallocated amount remaining.,
Label,Popis
Label Size,
Large (60×40mm),
Linked Invoices,Prepojené faktúry
Loading in-transit stock...,
Loading pending orders...,
Loading suppliers...,
Loyalty,
Loyalty Information,
Loyalty Point,
Loyalty Point Scheme,
Loyalty Points,Vernostné body
Loyalty Points Redeemed,
Loyalty Program,Vernostný program
Loyalty Program is required,
Loyalty Program {0} not found,
Manage loyalty for,
Material transfers awaiting receipt at your warehouse,
Max Amount,Maximálna suma
Max Quantity,
Maximum Use,Maximálne použitie
Medium (50×30mm),
Method,Metoda
Min Amount,Min. Suma
Min Quantity,
Missing Dependency,
Mobile,Mobilné
Mobile NO,
Mode Of Payment,Způsob platby
Mode of Payment,Spôsob platby
Mode of Payments,Spôsob platieb
Modes of Payment,Spôsoby platby
Movement Type,
Movement Type must be Expense or Deposit.,
Net Total,Netto Spolu
No allocation made for credit note {0},
No allocation made for payment {0},
No allocation was recorded for Credit Note {0}.,
No allocation was recorded for Journal Entry {0}.,
No allocation was recorded for Payment Entry {0}.,
No allocations were made.,
No batches available in {0} for {1}.,
No draft invoices found,
No groups found,
No in-transit stock,
No items found,
No items in cart to save.,
No items selected,
No items to invoice. Please ensure there are items on the Purchase Order.,
No items to receive.,
No items to receive. Please enter received quantities.,
No items to return.,
No loyalty programs available,
No matches found,
No material transfers pending receipt,
No open shift found. Please open a shift first.,
No orders found,
No outstanding invoices available for allocation of credit note {0},
No outstanding invoices available for allocation of payment {0},
No outstanding invoices were available to reconcile Credit Note {0}.,
No outstanding invoices were available to reconcile Journal Entry {0}.,
No outstanding invoices were available to reconcile Payment Entry {0}.,
No outstanding invoices were found for {0}.,
No pending stock,
"No query filters. Click \""Add Filter\"" to add one.",
No suppliers found,
No unallocated payments were available for reconciliation.,
No valid batches available in {0} for {1}.,
No valid items to receive.,
No valid items to return.,
Not Enrolled,
Number of decimal places encoded for the price.,
Number of digits representing the price before decimal places.,
Numpad,
Offer,
Offer Applied,
Offer Name,
Offers &amp; Coupons,
Offline,offline
Only One Use Per Customer,
Only cancelled POS Cash Movement records can be deleted.,
Only cancelled cash movements can be deleted.,
Only draft Quotations can be updated,
Only draft Sales Orders can be updated,
Only draft invoices can be deleted,
Only draft invoices can be updated,
Only draft invoices can be updated and submitted,
Only submitted cash movements can be cancelled.,
Only submitted or cancelled cash movements can be duplicated.,
Only the shift owner can create cash movement entries.,
Open,Otvoriť
Opening,Otvor
Opening Amount,Počiatočná suma
Opening Balance Details,Počiatočný zostatok
Order History,
Order only,
Order saved as draft,
Orders,objednávky
Original invoice {0} not found,
Out of Stock,Vypredané
Outgoing Stock Entry is required.,
POS,POS
POS Allowed Expense Account,
XPOS Allowed Source Account,
POS Cash Movement,
XPOS Closing Shift,
XPOS Closing Shift Detail,
XPOS Closing Shift Taxes,
XPOS Closing Shift {} against {} between selected period,
POS Coupon,
POS Coupon Detail,
POS Expense,
POS Expense is disabled for this POS Profile.,
POS Invoice,POS faktúra
POS Offer,
POS Offer Detail,
POS Offer is disabled.,
POS Opening Shift,
XPOS Opening Shift Detail,
POS Opening Shift is required,
POS Opening Shift is required to compute the overview.,
POS Opening Shift is required.,
POS Opening Shift must be submitted and open.,
POS Opening Shift not found.,
POS Opening Shift {0} is not for the same POS Profile,
POS Opening Shift {0} is not for the same company,
POS Payment Entry Reference,
POS Payments,
POS Print Format Rule,
POS Profile,POS Profile
POS Profile company must match active POS Opening Shift company.,
POS Profile is not set. Please close and reopen the shift.,
POS Profile is required,
POS Profile is required to create purchase documents.,
POS Profile is required.,
POS Profile must match the active POS Opening Shift profile.,
POS Profile must match the selected POS Opening Shift profile.,
POS Profile {} does not belongs to company {},POS profil {} nepatrí spoločnosti {}
"POS Profile, Customer, and Items are required",
POS Profiles,
POS Sales Person Filter,
POS Shift {0} is not open,
POS Transactions,POS transakcie
POS credit redemption for Sales Invoice {0},
POS expense recorded,
POS profile data is missing or invalid.,
Password,Heslo
Pay {0},
Payment,Splátka
Payment Entry,platba Entry
Payment Entry is already created or payment account is not matched,
Payment Entry {0} has no unallocated amount remaining.,
Payment Gateway Account not found,
Payment Reconciliation,Platba Odsouhlasení
Payment Request for {0},Žiadosť o platbu za {0}
Payment amount cannot be less than or equal to 0,Výška platby nemôže byť menšia alebo rovná 0
Payment amount must be greater than zero,
Payment {0} is already fully allocated,
Payments,Platby
Pending,Čakajúce
Period End Date,Dátum ukončenia obdobia
Period Start Date,Dátum začiatku obdobia
Phone number,
Please enter the phone number first,Najskôr zadajte telefónne číslo
Please select Coupon Code Based POS Offer.,
Please select a customer before adding items to the cart,
Please select a customer before holding the order.,
Please select the correct POS Offer with the same company.,
Please select the customer.,Vyberte zákazníka.
Please set Default Payable Account in Company {0},
Please set default account for Mode of Payment {0} in company {1},
Point of Sale System,
Points Earned,
Points Redeemed,
Points Value,
"Positions are 1-indexed and counted on the full barcode. Example: 3310100010009 => prefix 331, item code 3310100, weight 1.000, check digit 9.",
Posting Date,Dátum pridania
Prefix,Prefix
Prefix included in barcode,
Prefix length,
"Prefix length (for example, prefix 331 => length 3). Item/weight start positions still use full barcode positions.",
Price,cena
Price Discount Scheme ,
Price List is required,
Price decimals,
Price digits,
Price included in barcode,
Price starting position,
Primary Customer Offer,
Print,vytlačiť
Print Format,Formát tlače
Print Labels,
Print Last Invoice,
Process Return,
Process Return {0},
Processing...,Spracovanie ...
Product Discount Scheme,Schéma zľavy na výrobok
Profile,
Profiles List,
Program,Program
Promo Type,
Promotional,propagačné
Promotional Schemes,
Purchase,nákup
Purchase Order is required.,
Purchase Order {0} does not exist.,
Purchase Order {0} is not submitted.,
Purchase Order {0} processing failed: {1},
Purchase Orders,Objednávky
Purchase Orders pending receipt at,
Purchase order requires at least one item with quantity.,
Purchase order requires at least one item.,
Purchase orders,
Python package 'cryptography' is required for QZ Tray signing. Please install it on the server and retry.,
QZ Certificate Missing,
QZ Certificate Ready,
"QZ Tray certificate generated successfully.<br><br>Download the certificate from POS Awesome and import it into QZ Tray on each POS machine, then restart QZ Tray.",
QZ Tray certificate not found. Ask an administrator to run Setup QZ Certificate.,
QZ certificate already exists.,
QZ certificate generated successfully.,
Qty,množstvo
Qualifying Transaction / Item,
Quantity and Amount Conditions,
Quotation name is required,
Rate,Sadzba
Reason / Notes,
Receive,Prijať
