"1-indexed start position of item code in the full barcode. Example: for item code 3310100 in 3310100010009, start is 1.",
"1-indexed start position of weight segment. Example: in 3310100010009, weight starts at position 8.",
"<span class=\""h4\"">X POS</span>",
Accept Qty,
Account,ఖాతా
Account Head,ఖాతా హెడ్
Accounts Manager,అకౌంట్స్ మేనేజర్
Accounts User,యూజర్ ఖాతాలను
Add Filter,వడపోత జోడించండి
Add New Supplier,
Add a new supplier to the system,
Add items to pay,
Add to Cart,కార్ట్ జోడించు
Add/Edit Coupon Conditions,కూపన్ షరతులను జోడించండి / సవరించండి
Additional Discount,అదనపు డిస్కౌంట్
Administrator,అడ్మినిస్ట్రేటర్
Against Name,
All,ALL
All Groups,
All orders have been received,
Allocated {0} across {1} payment(s).,
Allocation amount for payment {0} exceeds outstanding invoices,
Amended From,సవరించిన
Amount,మొత్తం
Amount Due,
Amount exceeds POS Profile cash movement max amount.,
Amount must be greater than zero,
Amount must be greater than zero.,
Applied,అప్లైడ్
Apply,వర్తించు
Apply For,
Apply For POS Profiles,
Apply On,న వర్తించు
Apply Rule On Brand,బ్రాండ్‌లో నియమాన్ని వర్తించండి
Apply Rule On Item Code,ఐటెమ్ కోడ్‌లో నిబంధనను వర్తించండి
Apply Rule On Item Group,అంశం సమూహంలో నియమాన్ని వర్తించండి
Apply Type,
Are you sure you want to delete this draft?,
At least one item is required,
Auto Apply,
Auto-receive,
Available Programs,
Back Office Cash Account is fixed by POS Profile and cannot be overridden.,
Back Office Cash Account is required for cash deposit.,
Back Office Cash Account must be a Cash account.,
Back to Sign In,
Barcode,బార్కోడ్
Barcode Printer,
Barcode Structure,
Barcode Type,బార్కోడ్ పద్ధతి
Barcode lookup failed,
Barcode {0} already exists.,
Barcodes,బార్కోడ్లు
Brand,బ్రాండ్
Campaign,ప్రచారం
Cancel,రద్దు
Cancelled,రద్దు
Cancelling submitted cash movements is disabled for this POS Profile.,
Cannot add item to cart,
Cart,కార్ట్
Cart is empty,
Cash Deposit,
Cash Deposit is disabled for this POS Profile.,
Cash Movement,
Cash Movement is disabled for this POS Profile.,
Cash deposit recorded,
Cash flow tracking,
Cash movement is already cancelled,
Cash movement {0} not found,
Cashier,క్యాషియర్
Change,మార్చు
Change Given,
Check your email for reset instructions,
Clear All,
Clear cart,
Click on items to add them here,
Click to change customer,
Click to select customer,
Client Request ID,
Close,Close
Close Shift,
Closed,ముగించబడినది
Closing,
Closing Amount,ముగింపు మొత్తం
Closing...,
Company,కంపెనీ
Company is required,
Company is required.,
Company must match the selected POS Opening Shift company.,
Company must match the selected POS Profile company.,
Contact administrator to set up loyalty programs,
Context is required,
Cost Center,వ్యయ కేంద్రం
Cost Center is not set in pos profile {0},
Coupon,
Coupon Based,
Coupon Code,కూపన్ కోడ్
Coupon Code Based,కూపన్ కోడ్ ఆధారిత
Coupon Description,కూపన్ వివరణ
Coupon Name,కూపన్ పేరు
Coupon Type,కూపన్ రకం
Coupon has expired,
Coupon is not valid for this customer,
Coupon is not yet valid,
Create New Supplier,
Create Supplier,
Create items,
Create suppliers,
Created By,రూపొందించినవారు
Creating...,
Credit Note,క్రెడిట్ గమనిక
Credit Note {0} has no remaining balance to allocate.,
Credit note {0} is already fully allocated,
Credit note {0} still has an unapplied balance of {1},
Currency,కరెన్సీ
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}",
Currency is required,
Customer,కస్టమర్
Customer Group,కస్టమర్ గ్రూప్
Customer Name,వినియోగదారుని పేరు
Customer already exists,
Customer is already enrolled in {0},
Customer is already enrolled in {0}. Please unenroll from the current program first.,
Customer is not enrolled in any loyalty program,
Customer is required,కస్టమర్ అవసరం
Customer is required to create an address,
Customer locked for return,
Customer mismatch: Return must be for the same customer ({0}) as the original invoice,
Customer name is required,
Customer {0} not found,
"Customer, Company, Amount, and Mode of Payment are required",
Date,తేదీ
Date & Time,
Default Loyalty Program,
Default Rate,
Default Rate is required,
Delete draft,
Deleting cancelled cash movements is disabled for this POS Profile.,
Delivery Charges,
Delivery Charges POS Profile,
Deposit,
Deposit To,
Description,వివరణ
Details,వివరాలు
Difference,తేడా
Digits after decimal. Example: 1.000 => decimals 3.,
"Digits before decimal. Example: for 1.000, use 1 (or 2 if your scale encodes 01.000).",
Disable,ఆపివేయి
Disabled,వికలాంగుల
Discount,డిస్కౌంట్
Discount %,
Discount Amount,డిస్కౌంట్ మొత్తం
Discount Percentage,డిస్కౌంట్ శాతం
Discount Type,డిస్కౌంట్ రకం
Discount amount,
Draft,డ్రాఫ్ట్
Draft invoice deleted,
Draft invoice restored to cart,
Email,ఇమెయిల్
Email Address,ఇమెయిల్ చిరునామా
Email ID,ఇమెయిల్ ID
Email Sent Successfully,
Email address,ఇమెయిల్ అడ్రస్
Email or Username,
Enable only if barcode also contains price segment.,
"Enable when your barcode starts with a fixed prefix value (for example, 331).",
Enroll Customer,
Enrolled,చేరాడు
Enrolling...,నమోదు ...
Enter coupon code...,
Enter reason for this transaction...,
Enter supplier name,
Enter the email address associated with your account,
Enter your email address,
Enter your email or username,
Enter your email to receive a password reset link,
Enter your password,మీ పాస్వర్డ్ను ఎంటర్
Expected,
Expected Amount,ఊహించిన మొత్తం
Expense,ఖర్చుల
Expense Account,అధిక వ్యయ
Expense Account is required for expense entries.,
Expense account is required,
Expense account is required for POS Expense.,
Expense target account must match Expense Account.,
Expires,
Failed to create payment request: {0},
Failed to delete draft invoice,
Failed to fetch draft invoices,
Failed to load draft invoice,
Failed to reconcile Credit Note {0}: {1},
Failed to reconcile Journal Entry {0}: {1},
Failed to reconcile Payment Entry {0}: {1},
Failed to record cash movement,
Failed to save draft: {0},
Failed to validate coupon,
Final Customer Offer,
"Fixed starting value of all scale barcodes (for example, 331). If set, barcodes not starting with this value are ignored.",
Forgot password?,
Generate and print barcode labels for items,
Generating...,
Gift Card,బహుమతి కార్డు
Give Item,
Give Item Row ID,
Give Product,
Given Quantity,
Grand Total,సంపూర్ణ మొత్తము
In Transit,రవాణాలో
In-Transit,
In-Transit Stock,
Include QR Code,
Individual,వ్యక్తిగత
Invalid Opening Entry,చెల్లని ఓపెనింగ్ ఎంట్రీ
Invalid POS Opening Shift data provided.,
Invalid Period,చెల్లని కాలం
Invalid language code,
Invalid language code format: {0},
Invalid movement type for journal entry.,
Invalid movement type.,
Invalid or already used coupon code,
Invalid or expired coupon code,
Invalid payload for cash movement.,
Invalid posting date.,
Invalid {0} filter,
Invoice,వాయిస్
Invoice Amount,
Invoice Currency,
Invoice details,
Invoice name is required for update,
Invoice {0} Deleted,
Invoice {0} does not exist,
Invoice {0} not found,
Item,అంశం
Item Code,Item కోడ్
Item Code and Price List are required,
Item Code is required,
Item Discounts,
Item Group,అంశం గ్రూప్
Item Price,అంశం ధర
Item Price has been added or updated,
Item Rate Should Less Then,
Item code digits,
Item code is required.,
Item code starting position,
Item {0} was not in the original invoice {1},
"Item {0}: Cannot return {1} units. Only {2} units remaining for return (Original: {3}, Already returned: {4})",
"Item {0}: Cannot return {1}, maximum returnable is {2}",
Item {0}: Discount {1}% exceeds maximum allowed {2}%,
Item {0}: Quantity must be greater than zero,
Item {0}: Rate cannot be negative,
Items,అంశాలు
Journal Entry,జర్నల్ ఎంట్రీ
Journal Entry {0} has no unallocated amount remaining.,
Label,లేబుల్
Label Size,
Large (60×40mm),
Linked Invoices,లింక్ చేసిన ఇన్వాయిస్లు
Loading in-transit stock...,
Loading pending orders...,
Loading suppliers...,
Loyalty,
Loyalty Information,
Loyalty Point,
Loyalty Point Scheme,
Loyalty Points,విశ్వసనీయ పాయింట్లు
Loyalty Points Redeemed,
Loyalty Program,విధేయత కార్యక్రమం
Loyalty Program is required,
Loyalty Program {0} not found,
Manage loyalty for,
Material transfers awaiting receipt at your warehouse,
Max Amount,మాక్స్ మొత్తం
Max Quantity,
Maximum Use,గరిష్ట ఉపయోగం
Medium (50×30mm),
Method,విధానం
Min Amount,కనిష్ట మొత్తం
Min Quantity,
Missing Dependency,
Mobile,మొబైల్
Mobile NO,
Mode Of Payment,చెల్లింపు విధానం
Mode of Payment,చెల్లింపు మోడ్
Mode of Payments,చెల్లింపుల మోడ్
Modes of Payment,చెల్లింపు మోడ్లు
Movement Type,
Movement Type must be Expense or Deposit.,
Net Total,నికర మొత్తం
No allocation made for credit note {0},
No allocation made for payment {0},
No allocation was recorded for Credit Note {0}.,
No allocation was recorded for Journal Entry {0}.,
No allocation was recorded for Payment Entry {0}.,
No allocations were made.,
No batches available in {0} for {1}.,
No draft invoices found,
No groups found,
No in-transit stock,
No items found,
No items in cart to save.,
No items selected,
No items to invoice. Please ensure there are items on the Purchase Order.,
No items to receive.,
No items to receive. Please enter received quantities.,
No items to return.,
No loyalty programs available,
No matches found,
No material transfers pending receipt,
No open shift found. Please open a shift first.,
No orders found,
No outstanding invoices available for allocation of credit note {0},
No outstanding invoices available for allocation of payment {0},
No outstanding invoices were available to reconcile Credit Note {0}.,
No outstanding invoices were available to reconcile Journal Entry {0}.,
No outstanding invoices were available to reconcile Payment Entry {0}.,
No outstanding invoices were found for {0}.,
No pending stock,
"No query filters. Click \""Add Filter\"" to add one.",
No suppliers found,
No unallocated payments were available for reconciliation.,
No valid batches available in {0} for {1}.,
No valid items to receive.,
No valid items to return.,
Not Enrolled,
Number of decimal places encoded for the price.,
Number of digits representing the price before decimal places.,
Numpad,
Offer,
Offer Applied,
Offer Name,
Offers &amp; Coupons,
Offline,ఆఫ్లైన్
Only One Use Per Customer,
Only cancelled POS Cash Movement records can be deleted.,
Only cancelled cash movements can be deleted.,
Only draft Quotations can be updated,
Only draft Sales Orders can be updated,
Only draft invoices can be deleted,
Only draft invoices can be updated,
Only draft invoices can be updated and submitted,
Only submitted cash movements can be cancelled.,
Only submitted or cancelled cash movements can be duplicated.,
Only the shift owner can create cash movement entries.,
Open,ఓపెన్
Opening,ప్రారంభోత్సవం
Opening Amount,ఓపెనింగ్ మొత్తం
Opening Balance Details,బ్యాలెన్స్ వివరాలను తెరవడం
Order History,
Order only,
Order saved as draft,
Orders,ఆర్డర్స్
Original invoice {0} not found,
Out of Stock,స్టాక్ లేదు
Outgoing Stock Entry is required.,
POS,POS
POS Allowed Expense Account,
XPOS Allowed Source Account,
POS Cash Movement,
XPOS Closing Shift,
XPOS Closing Shift Detail,
XPOS Closing Shift Taxes,
XPOS Closing Shift {} against {} between selected period,
POS Coupon,
POS Coupon Detail,
POS Expense,
POS Expense is disabled for this POS Profile.,
POS Invoice,POS ఇన్వాయిస్
POS Offer,
POS Offer Detail,
POS Offer is disabled.,
POS Opening Shift,
XPOS Opening Shift Detail,
POS Opening Shift is required,
POS Opening Shift is required to compute the overview.,
POS Opening Shift is required.,
POS Opening Shift must be submitted and open.,
POS Opening Shift not found.,
POS Opening Shift {0} is not for the same POS Profile,
POS Opening Shift {0} is not for the same company,
POS Payment Entry Reference,
POS Payments,
POS Print Format Rule,
POS Profile,POS ప్రొఫైల్
POS Profile company must match active POS Opening Shift company.,
POS Profile is not set. Please close and reopen the shift.,
POS Profile is required,
POS Profile is required to create purchase documents.,
POS Profile is required.,
POS Profile must match the active POS Opening Shift profile.,
POS Profile must match the selected POS Opening Shift profile.,
POS Profile {} does not belongs to company {},POS ప్రొఫైల్ {company కంపెనీకి చెందినది కాదు}}
"POS Profile, Customer, and Items are required",
POS Profiles,
POS Sales Person Filter,
POS Shift {0} is not open,
POS Transactions,POS లావాదేవీలు
POS credit redemption for Sales Invoice {0},
POS expense recorded,
POS profile data is missing or invalid.,
Password,పాస్వర్డ్
Pay {0},
Payment,చెల్లింపు
Payment Entry,చెల్లింపు ఎంట్రీ
Payment Entry is already created or payment account is not matched,
Payment Entry {0} has no unallocated amount remaining.,
Payment Gateway Account not found,
Payment Reconciliation,చెల్లింపు సయోధ్య
Payment Request for {0},{0} కోసం చెల్లింపు అభ్యర్థన
Payment amount cannot be less than or equal to 0,చెల్లింపు మొత్తం 0 కంటే తక్కువ లేదా సమానంగా ఉండకూడదు
Payment amount must be greater than zero,
Payment {0} is already fully allocated,
Payments,చెల్లింపులు
Pending,పెండింగ్
Period End Date,కాలం ముగింపు తేదీ
Period Start Date,కాలం ప్రారంభ తేదీ
Phone number,
Please enter the phone number first,దయచేసి మొదట ఫోన్ నంబర్‌ను నమోదు చేయండి
Please select Coupon Code Based POS Offer.,
Please select a customer before adding items to the cart,
Please select a customer before holding the order.,
Please select the correct POS Offer with the same company.,
Please select the customer.,దయచేసి కస్టమర్‌ను ఎంచుకోండి.
Please set Default Payable Account in Company {0},
Please set default account for Mode of Payment {0} in company {1},
Point of Sale System,
Points Earned,
Points Redeemed,
Points Value,
"Positions are 1-indexed and counted on the full barcode. Example: 3310100010009 => prefix 331, item code 3310100, weight 1.000, check digit 9.",
Posting Date,పోస్ట్ చేసిన తేదీ
Prefix,ఆదిపదం
