"1-indexed start position of item code in the full barcode. Example: for item code 3310100 in 3310100010009, start is 1.",
"1-indexed start position of weight segment. Example: in 3310100010009, weight starts at position 8.",
"<span class=\""h4\"">X POS</span>",
Accept Qty,
Account,Tài khoản
Account Head,Tài khoản chính
Accounts Manager,Quản lý tài khoản
Accounts User,Người dùng kế toán
Add Filter,Thêm bộ lọc
Add New Supplier,
Add a new supplier to the system,
Add items to pay,
Add to Cart,Thêm vào giỏ hàng
Add/Edit Coupon Conditions,Thêm / Chỉnh sửa điều kiện phiếu giảm giá
Additional Discount,Chiết khấu giảm giá
Administrator,Quản trị viên
Against Name,
All,Tất cả
All Groups,
All orders have been received,
Allocated {0} across {1} payment(s).,
Allocation amount for payment {0} exceeds outstanding invoices,
Amended From,Sửa đổi Từ
Amount,Giá trị
Amount Due,
Amount exceeds POS Profile cash movement max amount.,
Amount must be greater than zero,
Amount must be greater than zero.,
Applied,Ứng dụng
Apply,Ứng dụng
Apply For,
Apply For POS Profiles,
Apply On,Áp dụng trên
Apply Rule On Brand,Áp dụng quy tắc về thương hiệu
Apply Rule On Item Code,Áp dụng quy tắc về mã hàng
Apply Rule On Item Group,Áp dụng quy tắc trên nhóm vật phẩm
Apply Type,
Are you sure you want to delete this draft?,
At least one item is required,
Auto Apply,
Auto-receive,
Available Programs,
Back Office Cash Account is fixed by POS Profile and cannot be overridden.,
Back Office Cash Account is required for cash deposit.,
Back Office Cash Account must be a Cash account.,
Back to Sign In,
Barcode,Mã vạch
Barcode Printer,
Barcode Structure,
Barcode Type,Loại mã vạch
Barcode lookup failed,
Barcode {0} already exists.,
Barcodes,Mã vạch
Brand,Nhãn
Campaign,Chiến dịch
Cancel,Hủy bỏ
Cancelled,Đã hủy
Cancelling submitted cash movements is disabled for this POS Profile.,
Cannot add item to cart,
Cart,Giỏ hàng
Cart is empty,
Cash Deposit,
Cash Deposit is disabled for this POS Profile.,
Cash Movement,
Cash Movement is disabled for this POS Profile.,
Cash deposit recorded,
Cash flow tracking,
Cash movement is already cancelled,
Cash movement {0} not found,
Cashier,Thu ngân
Change,Thay đổi
Change Given,
Check your email for reset instructions,
Clear All,
Clear cart,
Click on items to add them here,
Click to change customer,
Click to select customer,
Client Request ID,
Close,Đóng
Close Shift,
Closed,Đã đóng
Closing,
Closing Amount,Số tiền đóng
Closing...,
Company,Công ty
Company is required,
Company is required.,
Company must match the selected POS Opening Shift company.,
Company must match the selected POS Profile company.,
Contact administrator to set up loyalty programs,
Context is required,
Cost Center,Bộ phận chi phí
Cost Center is not set in pos profile {0},
Coupon,
Coupon Based,
Coupon Code,mã giảm giá
Coupon Code Based,Mã Coupon Dựa
Coupon Description,Mô tả phiếu giảm giá
Coupon Name,Tên phiếu giảm giá
Coupon Type,Loại phiếu giảm giá
Coupon has expired,
Coupon is not valid for this customer,
Coupon is not yet valid,
Create New Supplier,
Create Supplier,
Create items,
Create suppliers,
Created By,Tạo ra bởi
Creating...,
Credit Note,Ghi chú tín dụng
Credit Note {0} has no remaining balance to allocate.,
Credit note {0} is already fully allocated,
Credit note {0} still has an unapplied balance of {1},
Currency,Tiền tệ
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}",
Currency is required,
Customer,Khách Hàng
Customer Group,Nhóm khách hàng
Customer Name,Tên khách hàng
Customer already exists,
Customer is already enrolled in {0},
Customer is already enrolled in {0}. Please unenroll from the current program first.,
Customer is not enrolled in any loyalty program,
Customer is required,Khách hàng phải có
Customer is required to create an address,
Customer locked for return,
Customer mismatch: Return must be for the same customer ({0}) as the original invoice,
Customer name is required,
Customer {0} not found,
"Customer, Company, Amount, and Mode of Payment are required",
Date,Ngày
Date & Time,
Default Loyalty Program,
Default Rate,
Default Rate is required,
Delete draft,
Deleting cancelled cash movements is disabled for this POS Profile.,
Delivery Charges,
Delivery Charges POS Profile,
Deposit,
Deposit To,
Description,Sự miêu tả
Details,Chi tiết
Difference,Sự khác biệt
Digits after decimal. Example: 1.000 => decimals 3.,
"Digits before decimal. Example: for 1.000, use 1 (or 2 if your scale encodes 01.000).",
Disable,Vô hiệu hóa
Disabled,Đã vô hiệu hóa
Discount,Giảm giá
Discount %,
Discount Amount,Số tiền giảm giá
Discount Percentage,Tỷ lệ phần trăm giảm giá
Discount Type,Loại giảm giá
Discount amount,
Draft,Bản nháp
Draft invoice deleted,
Draft invoice restored to cart,
Email,E-mail
Email Address,Địa chỉ email
Email ID,ID email
Email Sent Successfully,
Email address,Địa chỉ Email
Email or Username,
Enable only if barcode also contains price segment.,
"Enable when your barcode starts with a fixed prefix value (for example, 331).",
Enroll Customer,
Enrolled,Đã đăng ký
Enrolling...,Đang đăng ký ...
Enter coupon code...,
Enter reason for this transaction...,
Enter supplier name,
Enter the email address associated with your account,
Enter your email address,
Enter your email or username,
Enter your email to receive a password reset link,
Enter your password,Nhập mật khẩu của bạn
Expected,
Expected Amount,Số tiền dự kiến
Expense,chi tiêu
Expense Account,Tài khoản chi phí
Expense Account is required for expense entries.,
Expense account is required,
Expense account is required for POS Expense.,
Expense target account must match Expense Account.,
Expires,
Failed to create payment request: {0},
Failed to delete draft invoice,
Failed to fetch draft invoices,
Failed to load draft invoice,
Failed to reconcile Credit Note {0}: {1},
Failed to reconcile Journal Entry {0}: {1},
Failed to reconcile Payment Entry {0}: {1},
Failed to record cash movement,
Failed to save draft: {0},
Failed to validate coupon,
Final Customer Offer,
"Fixed starting value of all scale barcodes (for example, 331). If set, barcodes not starting with this value are ignored.",
Forgot password?,
Generate and print barcode labels for items,
Generating...,
Gift Card,Thẻ quà tặng
Give Item,
Give Item Row ID,
Give Product,
Given Quantity,
Grand Total,Tổng cộng
In Transit,Quá cảnh
In-Transit,
In-Transit Stock,
Include QR Code,
Individual,Cá nhân
Invalid Opening Entry,Mục nhập mở không hợp lệ
Invalid POS Opening Shift data provided.,
Invalid Period,Khoảng thời gian không hợp lệ
Invalid language code,
Invalid language code format: {0},
Invalid movement type for journal entry.,
Invalid movement type.,
Invalid or already used coupon code,
Invalid or expired coupon code,
Invalid payload for cash movement.,
Invalid posting date.,
Invalid {0} filter,
Invoice,Hóa đơn
Invoice Amount,
Invoice Currency,
Invoice details,
Invoice name is required for update,
Invoice {0} Deleted,
Invoice {0} does not exist,
Invoice {0} not found,
Item,Hạng mục
Item Code,Mã hàng
Item Code and Price List are required,
Item Code is required,
Item Discounts,
Item Group,Nhóm hàng
Item Price,Giá mục
Item Price has been added or updated,
Item Rate Should Less Then,
Item code digits,
Item code is required.,
Item code starting position,
Item {0} was not in the original invoice {1},
"Item {0}: Cannot return {1} units. Only {2} units remaining for return (Original: {3}, Already returned: {4})",
"Item {0}: Cannot return {1}, maximum returnable is {2}",
Item {0}: Discount {1}% exceeds maximum allowed {2}%,
Item {0}: Quantity must be greater than zero,
Item {0}: Rate cannot be negative,
Items,Khoản mục
Journal Entry,Bút toán nhật ký
Journal Entry {0} has no unallocated amount remaining.,
Label,Nhãn
Label Size,
Large (60×40mm),
Linked Invoices,Hóa đơn được liên kết
Loading in-transit stock...,
Loading pending orders...,
Loading suppliers...,
Loyalty,
Loyalty Information,
Loyalty Point,
Loyalty Point Scheme,
Loyalty Points,Điểm trung thành
Loyalty Points Redeemed,
Loyalty Program,Chương trình khách hàng thân thiết
Loyalty Program is required,
Loyalty Program {0} not found,
Manage loyalty for,
Material transfers awaiting receipt at your warehouse,
Max Amount,Số tiền tối đa
Max Quantity,
Maximum Use,Sử dụng tối đa
Medium (50×30mm),
Method,Phương pháp
Min Amount,Số tiền tối thiểu
Min Quantity,
Missing Dependency,
Mobile,Điện thoại di động
Mobile NO,
Mode Of Payment,Hình thức thanh toán
Mode of Payment,Phương thức thanh toán
Mode of Payments,Phương thức thanh toán
Modes of Payment,Phương thức thanh toán
Movement Type,
Movement Type must be Expense or Deposit.,
Net Total,Tổng thuần
No allocation made for credit note {0},
No allocation made for payment {0},
No allocation was recorded for Credit Note {0}.,
No allocation was recorded for Journal Entry {0}.,
No allocation was recorded for Payment Entry {0}.,
No allocations were made.,
No batches available in {0} for {1}.,
No draft invoices found,
No groups found,
No in-transit stock,
No items found,
No items in cart to save.,
No items selected,
No items to invoice. Please ensure there are items on the Purchase Order.,
No items to receive.,
No items to receive. Please enter received quantities.,
No items to return.,
No loyalty programs available,
No matches found,
No material transfers pending receipt,
No open shift found. Please open a shift first.,
No orders found,
No outstanding invoices available for allocation of credit note {0},
No outstanding invoices available for allocation of payment {0},
No outstanding invoices were available to reconcile Credit Note {0}.,
No outstanding invoices were available to reconcile Journal Entry {0}.,
No outstanding invoices were available to reconcile Payment Entry {0}.,
No outstanding invoices were found for {0}.,
No pending stock,
"No query filters. Click \""Add Filter\"" to add one.",
No suppliers found,
No unallocated payments were available for reconciliation.,
No valid batches available in {0} for {1}.,
No valid items to receive.,
No valid items to return.,
Not Enrolled,
Number of decimal places encoded for the price.,
Number of digits representing the price before decimal places.,
Numpad,
Offer,
Offer Applied,
Offer Name,
Offers &amp; Coupons,
Offline,ẩn
Only One Use Per Customer,
Only cancelled POS Cash Movement records can be deleted.,
Only cancelled cash movements can be deleted.,
Only draft Quotations can be updated,
Only draft Sales Orders can be updated,
Only draft invoices can be deleted,
Only draft invoices can be updated,
Only draft invoices can be updated and submitted,
Only submitted cash movements can be cancelled.,
Only submitted or cancelled cash movements can be duplicated.,
Only the shift owner can create cash movement entries.,
Open,Mở
Opening,Mở ra
Opening Amount,Số tiền mở
Opening Balance Details,Chi tiết số dư đầu kỳ
Order History,
Order only,
Order saved as draft,
Orders,Đơn đặt hàng
Original invoice {0} not found,
Out of Stock,Hết hàng
Outgoing Stock Entry is required.,
POS,Điểm bán hàng
POS Allowed Expense Account,
XPOS Allowed Source Account,
POS Cash Movement,
XPOS Closing Shift,
XPOS Closing Shift Detail,
XPOS Closing Shift Taxes,
XPOS Closing Shift {} against {} between selected period,
POS Coupon,
POS Coupon Detail,
POS Expense,
POS Expense is disabled for this POS Profile.,
POS Invoice,Hóa đơn POS
POS Offer,
POS Offer Detail,
POS Offer is disabled.,
POS Opening Shift,
XPOS Opening Shift Detail,
POS Opening Shift is required,
POS Opening Shift is required to compute the overview.,
POS Opening Shift is required.,
POS Opening Shift must be submitted and open.,
POS Opening Shift not found.,
POS Opening Shift {0} is not for the same POS Profile,
POS Opening Shift {0} is not for the same company,
POS Payment Entry Reference,
POS Payments,
POS Print Format Rule,
POS Profile,Hồ sơ POS
POS Profile company must match active POS Opening Shift company.,
POS Profile is not set. Please close and reopen the shift.,
POS Profile is required,
POS Profile is required to create purchase documents.,
POS Profile is required.,
POS Profile must match the active POS Opening Shift profile.,
POS Profile must match the selected POS Opening Shift profile.,
POS Profile {} does not belongs to company {},Hồ sơ POS {} không thuộc về công ty {}
"POS Profile, Customer, and Items are required",
POS Profiles,
POS Sales Person Filter,
POS Shift {0} is not open,
POS Transactions,Giao dịch POS
POS credit redemption for Sales Invoice {0},
POS expense recorded,
POS profile data is missing or invalid.,
Password,Mật khẩu
Pay {0},
Payment,Thanh toán
Payment Entry,Bút toán thanh toán
Payment Entry is already created or payment account is not matched,
Payment Entry {0} has no unallocated amount remaining.,
Payment Gateway Account not found,
Payment Reconciliation,Hòa giải thanh toán
Payment Request for {0},Yêu cầu thanh toán cho {0}
Payment amount cannot be less than or equal to 0,Số tiền thanh toán không được nhỏ hơn hoặc bằng 0
Payment amount must be greater than zero,
Payment {0} is already fully allocated,
Payments,Thanh toán
Pending,Chờ
Period End Date,Ngày kết thúc kỳ
Period Start Date,Ngày bắt đầu kỳ
Phone number,
Please enter the phone number first,Vui lòng nhập số điện thoại trước
Please select Coupon Code Based POS Offer.,
Please select a customer before adding items to the cart,
Please select a customer before holding the order.,
Please select the correct POS Offer with the same company.,
Please select the customer.,Vui lòng chọn khách hàng.
Please set Default Payable Account in Company {0},
Please set default account for Mode of Payment {0} in company {1},
Point of Sale System,
Points Earned,
Points Redeemed,
Points Value,
"Positions are 1-indexed and counted on the full barcode. Example: 3310100010009 => prefix 331, item code 3310100, weight 1.000, check digit 9.",
Posting Date,Ngày đăng
Prefix,Tiền tố
Prefix included in barcode,
Prefix length,
"Prefix length (for example, prefix 331 => length 3). Item/weight start positions still use full barcode positions.",
Price,Giá
Price Discount Scheme ,
Price List is required,
Price decimals,
Price digits,
Price included in barcode,
Price starting position,
Primary Customer Offer,
Print,In
Print Format,Định dạng in
Print Labels,
Print Last Invoice,
Process Return,
Process Return {0},
Processing...,Chế biến...
Product Discount Scheme,Chương trình giảm giá sản phẩm
Profile,
Profiles List,
Program,Chương trình
Promo Type,
Promotional,Khuyến mại
Promotional Schemes,
Purchase,Mua
Purchase Order is required.,
Purchase Order {0} does not exist.,
Purchase Order {0} is not submitted.,
Purchase Order {0} processing failed: {1},
Purchase Orders,Đơn đặt hàng
Purchase Orders pending receipt at,
