"1-indexed start position of item code in the full barcode. Example: for item code 3310100 in 3310100010009, start is 1.",
"1-indexed start position of weight segment. Example: in 3310100010009, weight starts at position 8.",
"<span class=\""h4\"">X POS</span>",
Accept Qty,
Account,科目
Account Head,帐号头
Accounts Manager,会计经理
Accounts User,会计人员
Add Filter,添加过滤器
Add New Supplier,
Add a new supplier to the system,
Add items to pay,
Add to Cart,加入购物车
Add/Edit Coupon Conditions,添加/编辑优惠券条件
Additional Discount,额外折扣
Administrator,管理员
Against Name,
All,所有
All Groups,
All orders have been received,
Allocated {0} across {1} payment(s).,
Allocation amount for payment {0} exceeds outstanding invoices,
Amended From,修订源
Amount,数额
Amount Due,
Amount exceeds POS Profile cash movement max amount.,
Amount must be greater than zero,
Amount must be greater than zero.,
Applied,应用的
Apply,应用
Apply For,
Apply For POS Profiles,
Apply On,应用于
Apply Rule On Brand,在品牌上应用规则
Apply Rule On Item Code,在物品代码上应用规则
Apply Rule On Item Group,在项目组上应用规则
Apply Type,
Are you sure you want to delete this draft?,
At least one item is required,
Auto Apply,
Auto-receive,
Available Programs,
Back Office Cash Account is fixed by POS Profile and cannot be overridden.,
Back Office Cash Account is required for cash deposit.,
Back Office Cash Account must be a Cash account.,
Back to Sign In,
Barcode,条码
Barcode Printer,
Barcode Structure,
Barcode Type,条码类型
Barcode lookup failed,
Barcode {0} already exists.,
Barcodes,条形码
Brand,品牌
Campaign,促销活动
Cancel,取消
Cancelled,取消
Cancelling submitted cash movements is disabled for this POS Profile.,
Cannot add item to cart,
Cart,购物车
Cart is empty,
Cash Deposit,
Cash Deposit is disabled for this POS Profile.,
Cash Movement,
Cash Movement is disabled for this POS Profile.,
Cash deposit recorded,
Cash flow tracking,
Cash movement is already cancelled,
Cash movement {0} not found,
Cashier,出纳员
Change,变化
Change Given,
Check your email for reset instructions,
Clear All,
Clear cart,
Click on items to add them here,
Click to change customer,
Click to select customer,
Client Request ID,
Close,关闭
Close Shift,
Closed,已关闭
Closing,正在关闭
Closing Amount,结算金额
Closing...,
Company,公司
Company is required,
Company is required.,
Company must match the selected POS Opening Shift company.,
Company must match the selected POS Profile company.,
Contact administrator to set up loyalty programs,
Context is required,
Cost Center,成本中心
Cost Center is not set in pos profile {0},
Coupon,
Coupon Based,
Coupon Code,优惠券代码
Coupon Code Based,基于优惠券代码
Coupon Description,优惠券说明
Coupon Name,优惠券名称
Coupon Type,优惠券类型
Coupon has expired,
Coupon is not valid for this customer,
Coupon is not yet valid,
Create New Supplier,
Create Supplier,
Create items,
Create suppliers,
Created By,创建人
Creating...,
Credit Note,换货凭单
Credit Note {0} has no remaining balance to allocate.,
Credit note {0} is already fully allocated,
Credit note {0} still has an unapplied balance of {1},
Currency,货币
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}",
Currency is required,
Customer,客户
Customer Group,客户群组
Customer Name,客户名称
Customer already exists,
Customer is already enrolled in {0},
Customer is already enrolled in {0}. Please unenroll from the current program first.,
Customer is not enrolled in any loyalty program,
Customer is required,客户是必须项
Customer is required to create an address,
Customer locked for return,
Customer mismatch: Return must be for the same customer ({0}) as the original invoice,
Customer name is required,
Customer {0} not found,
"Customer, Company, Amount, and Mode of Payment are required",
Date,日期
Date & Time,
Default Loyalty Program,
Default Rate,
Default Rate is required,
Delete draft,
Deleting cancelled cash movements is disabled for this POS Profile.,
Delivery Charges,
Delivery Charges POS Profile,
Deposit,保证金
Deposit To,
Description,描述
Details,详细信息
Difference,区别
Digits after decimal. Example: 1.000 => decimals 3.,
"Digits before decimal. Example: for 1.000, use 1 (or 2 if your scale encodes 01.000).",
Disable,禁用
Disabled,禁用
Discount,折扣
Discount %,
Discount Amount,折扣金额
Discount Percentage,折扣百分比
Discount Type,折扣类型
Discount amount,
Draft,草案
Draft invoice deleted,
Draft invoice restored to cart,
Email,电子邮件
Email Address,电子邮箱
Email ID,电子邮件ID
Email Sent Successfully,
Email address,电子邮箱
Email or Username,
Enable only if barcode also contains price segment.,
"Enable when your barcode starts with a fixed prefix value (for example, 331).",
Enroll Customer,
Enrolled,已入学
Enrolling...,正在注册...
Enter coupon code...,
Enter reason for this transaction...,
Enter supplier name,
Enter the email address associated with your account,
Enter your email address,
Enter your email or username,
Enter your email to receive a password reset link,
Enter your password,输入密码
Expected,预期
Expected Amount,预期金额
Expense,费用
Expense Account,费用科目
Expense Account is required for expense entries.,
Expense account is required,
Expense account is required for POS Expense.,
Expense target account must match Expense Account.,
Expires,
Failed to create payment request: {0},
Failed to delete draft invoice,
Failed to fetch draft invoices,
Failed to load draft invoice,
Failed to reconcile Credit Note {0}: {1},
Failed to reconcile Journal Entry {0}: {1},
Failed to reconcile Payment Entry {0}: {1},
Failed to record cash movement,
Failed to save draft: {0},
Failed to validate coupon,
Final Customer Offer,
"Fixed starting value of all scale barcodes (for example, 331). If set, barcodes not starting with this value are ignored.",
Forgot password?,
Generate and print barcode labels for items,
Generating...,
Gift Card,礼物卡
Give Item,
Give Item Row ID,
Give Product,
Given Quantity,
Grand Total,总计
In Transit,运输中
In-Transit,
In-Transit Stock,
Include QR Code,
Individual,个人
Invalid Opening Entry,无效的开幕词
Invalid POS Opening Shift data provided.,
Invalid Period,无效期间
Invalid language code,
Invalid language code format: {0},
Invalid movement type for journal entry.,
Invalid movement type.,
Invalid or already used coupon code,
Invalid or expired coupon code,
Invalid payload for cash movement.,
Invalid posting date.,
Invalid {0} filter,
Invoice,费用清单
Invoice Amount,
Invoice Currency,
Invoice details,
Invoice name is required for update,
Invoice {0} Deleted,
Invoice {0} does not exist,
Invoice {0} not found,
Item,物料
Item Code,物料代码
Item Code and Price List are required,
Item Code is required,
Item Discounts,
Item Group,物料群组
Item Price,物料价格
Item Price has been added or updated,
Item Rate Should Less Then,
Item code digits,
Item code is required.,
Item code starting position,
Item {0} was not in the original invoice {1},
"Item {0}: Cannot return {1} units. Only {2} units remaining for return (Original: {3}, Already returned: {4})",
"Item {0}: Cannot return {1}, maximum returnable is {2}",
Item {0}: Discount {1}% exceeds maximum allowed {2}%,
Item {0}: Quantity must be greater than zero,
Item {0}: Rate cannot be negative,
Items,物料
Journal Entry,手工凭证
Journal Entry {0} has no unallocated amount remaining.,
Label,标签
Label Size,
Large (60×40mm),
Linked Invoices,链接的费用清单
Loading in-transit stock...,
Loading pending orders...,
Loading suppliers...,
Loyalty,
Loyalty Information,
Loyalty Point,
Loyalty Point Scheme,
Loyalty Points,忠诚度积分
Loyalty Points Redeemed,
Loyalty Program,忠诚计划
Loyalty Program is required,
Loyalty Program {0} not found,
Manage loyalty for,
Material transfers awaiting receipt at your warehouse,
Max Amount,最大金额
Max Quantity,
Maximum Use,最大使用量
Medium (50×30mm),
Method,方法
Min Amount,最低金额
Min Quantity,
Missing Dependency,
Mobile,手机号
Mobile NO,
Mode Of Payment,付款方式
Mode of Payment,付款方式
Mode of Payments,付款方式
Modes of Payment,付款方式
Movement Type,
Movement Type must be Expense or Deposit.,
Net Total,总净
No allocation made for credit note {0},
No allocation made for payment {0},
No allocation was recorded for Credit Note {0}.,
No allocation was recorded for Journal Entry {0}.,
No allocation was recorded for Payment Entry {0}.,
No allocations were made.,
No batches available in {0} for {1}.,
No draft invoices found,
No groups found,
No in-transit stock,
No items found,
No items in cart to save.,
No items selected,
No items to invoice. Please ensure there are items on the Purchase Order.,
No items to receive.,
No items to receive. Please enter received quantities.,
No items to return.,
No loyalty programs available,
No matches found,
No material transfers pending receipt,
No open shift found. Please open a shift first.,
No orders found,
No outstanding invoices available for allocation of credit note {0},
No outstanding invoices available for allocation of payment {0},
No outstanding invoices were available to reconcile Credit Note {0}.,
No outstanding invoices were available to reconcile Journal Entry {0}.,
No outstanding invoices were available to reconcile Payment Entry {0}.,
No outstanding invoices were found for {0}.,
No pending stock,
"No query filters. Click \""Add Filter\"" to add one.",
No suppliers found,
No unallocated payments were available for reconciliation.,
No valid batches available in {0} for {1}.,
No valid items to receive.,
No valid items to return.,
Not Enrolled,
Number of decimal places encoded for the price.,
Number of digits representing the price before decimal places.,
Numpad,
Offer,
Offer Applied,
Offer Name,
Offers &amp; Coupons,
Offline,离线
Only One Use Per Customer,
Only cancelled POS Cash Movement records can be deleted.,
Only cancelled cash movements can be deleted.,
Only draft Quotations can be updated,
Only draft Sales Orders can be updated,
Only draft invoices can be deleted,
Only draft invoices can be updated,
Only draft invoices can be updated and submitted,
Only submitted cash movements can be cancelled.,
Only submitted or cancelled cash movements can be duplicated.,
Only the shift owner can create cash movement entries.,
Open,开
Opening,开帐
Opening Amount,期初金额
Opening Balance Details,期初余额明细
Order History,
Order only,
Order saved as draft,
Orders,订单
Original invoice {0} not found,
Out of Stock,缺货
Outgoing Stock Entry is required.,
POS,销售终端
POS Allowed Expense Account,
XPOS Allowed Source Account,
POS Cash Movement,
XPOS Closing Shift,
XPOS Closing Shift Detail,
XPOS Closing Shift Taxes,
XPOS Closing Shift {} against {} between selected period,
POS Coupon,
POS Coupon Detail,
POS Expense,
POS Expense is disabled for this POS Profile.,
POS Invoice,POS发票
POS Offer,
POS Offer Detail,
POS Offer is disabled.,
POS Opening Shift,
XPOS Opening Shift Detail,
POS Opening Shift is required,
POS Opening Shift is required to compute the overview.,
POS Opening Shift is required.,
POS Opening Shift must be submitted and open.,
POS Opening Shift not found.,
POS Opening Shift {0} is not for the same POS Profile,
POS Opening Shift {0} is not for the same company,
POS Payment Entry Reference,
POS Payments,
POS Print Format Rule,
POS Profile,销售终端配置
POS Profile company must match active POS Opening Shift company.,
POS Profile is not set. Please close and reopen the shift.,
POS Profile is required,
POS Profile is required to create purchase documents.,
POS Profile is required.,
POS Profile must match the active POS Opening Shift profile.,
POS Profile must match the selected POS Opening Shift profile.,
POS Profile {} does not belongs to company {},POS个人资料{}不属于公司{}
"POS Profile, Customer, and Items are required",
POS Profiles,
POS Sales Person Filter,
POS Shift {0} is not open,
POS Transactions,POS交易
POS credit redemption for Sales Invoice {0},
POS expense recorded,
POS profile data is missing or invalid.,
Password,密码
Pay {0},
Payment,付款
Payment Entry,付款凭证
Payment Entry is already created or payment account is not matched,
Payment Entry {0} has no unallocated amount remaining.,
Payment Gateway Account not found,
Payment Reconciliation,付款对账
Payment Request for {0},付款申请{0}
Payment amount cannot be less than or equal to 0,付款金额不能小于或等于0
Payment amount must be greater than zero,
Payment {0} is already fully allocated,
Payments,付款
Pending,有待
Period End Date,期末结束日期
Period Start Date,期间开始日期
Phone number,
Please enter the phone number first,请先输入电话号码
Please select Coupon Code Based POS Offer.,
Please select a customer before adding items to the cart,
Please select a customer before holding the order.,
Please select the correct POS Offer with the same company.,
Please select the customer.,请选择客户。
Please set Default Payable Account in Company {0},
Please set default account for Mode of Payment {0} in company {1},
Point of Sale System,
Points Earned,
Points Redeemed,
Points Value,
"Positions are 1-indexed and counted on the full barcode. Example: 3310100010009 => prefix 331, item code 3310100, weight 1.000, check digit 9.",
Posting Date,记帐日期
Prefix,字首
Prefix included in barcode,
Prefix length,
"Prefix length (for example, prefix 331 => length 3). Item/weight start positions still use full barcode positions.",
Price,价格
Price Discount Scheme ,
Price List is required,
Price decimals,
Price digits,
Price included in barcode,
Price starting position,
Primary Customer Offer,
Print,打印
Print Format,打印格式
Print Labels,
Print Last Invoice,
Process Return,
Process Return {0},
Processing...,处理...
Product Discount Scheme,产品折扣计划
Profile,配置文件
Profiles List,
Program,程序
Promo Type,
Promotional,促销性
Promotional Schemes,
Purchase,采购
Purchase Order is required.,
Purchase Order {0} does not exist.,
Purchase Order {0} is not submitted.,
Purchase Order {0} processing failed: {1},
Purchase Orders,订单
Purchase Orders pending receipt at,
Purchase order requires at least one item with quantity.,
Purchase order requires at least one item.,
Purchase orders,
Python package 'cryptography' is required for QZ Tray signing. Please install it on the server and retry.,
QZ Certificate Missing,
QZ Certificate Ready,
"QZ Tray certificate generated successfully.<br><br>Download the certificate from POS Awesome and import it into QZ Tray on each POS machine, then restart QZ Tray.",
QZ Tray certificate not found. Ask an administrator to run Setup QZ Certificate.,
QZ certificate already exists.,
QZ certificate generated successfully.,
Qty,数量
Qualifying Transaction / Item,
Quantity and Amount Conditions,
Quotation name is required,
Rate,单价
Reason / Notes,
Receive,收款
Receive & Return,
Receive Qty,
Receive Stock,
Receive stock,
Received at {0},
Receiving at,
Receiving...,
Recent Movements,
Record Deposit,
Record Expense,
Record a cash deposit,
Record a cash withdrawal,
Redeem Points,
Referral Code,推荐码
Referral Code is required,
Referral Code {0} does not exist,
Referral Code {0} is disabled,
Referral Name,
Refresh,刷新
Refund Amount,
Reject Qty,
Remaining,剩余
Remaining outstanding: {0} across {1} invoice(s).,
Remarks,备注
"Remarks (optional, e.g. items damaged)",
"Remarks (optional, e.g. missing or damaged items)",
Remarks are required for cash movement in this POS Profile.,
Remove Loyalty,
Repeat,重复
Repeat Invoice (Ctrl+G),
